Pathway,Description,F_JC1,F_JC2,F_JC3,F_JC4,S_MC5,F_LW3,F_LW2,F_LW1,F_JC5,F_MC2,F_MC1,F_LW5,F_LW4,F_MC4,F_MC3,S_JC1,F_MC5,S_JC4,S_JC3,S_JC2,S_MC3,S_MC4,S_LW2,S_LW3,S_JC5,S_LW1,S_MC1,S_MC2,S_LW4,S_LW5,Pathwaymap,Total
ko00072,Synthesis and degradation of ketone bodies,5650,5838,9070,7972,5542,5888,4820,9960,8604,8560,7156,9006,7120,6322,9566,4874,8410,4760,4544,4802,4418,5838,7212,8518,4894,6128,4848,6208,7170,7232,http://www.genome.jp/kegg-bin/show_pathway?ko00072+K00626+K01640+K01641+K01028+K00019+K01029+K01574+K01027,200930
ko00073,"Cutin, suberine and wax biosynthesis",0,0,0,0,0,10,0,0,0,0,0,20,12,0,0,0,0,0,2,0,0,0,2,8,0,0,0,0,4,0,http://www.genome.jp/kegg-bin/show_pathway?ko00073+K13356,58
ko00100,Steroid biosynthesis,176,38,164,304,682,948,1380,590,176,50,172,1268,474,240,98,280,164,402,236,324,256,288,1300,240,648,388,344,210,482,472,http://www.genome.jp/kegg-bin/show_pathway?ko00100+K00801+K01052+K00559+K00637+K07748+K12298,12794
ko00120,Primary bile acid biosynthesis,8544,6348,8678,10548,7838,796,838,1484,9166,9248,9316,744,946,8854,8388,7650,8778,8730,8670,8150,10466,9974,2630,2914,10372,2506,8418,8170,2076,2540,http://www.genome.jp/kegg-bin/show_pathway?ko00120+K01442+K12405+K01796+K08764,193780
ko00121,Secondary bile acid biosynthesis,8790,6792,9328,11220,8046,800,842,1486,9672,9860,9728,744,962,9336,9116,7842,9332,9130,9064,8336,11002,10364,2626,2912,10638,2506,8640,8338,2084,2540,http://www.genome.jp/kegg-bin/show_pathway?ko00121+K01442+K00076+K15872+K15873+K15869+K15871+K15870+K15868+K15874,202076
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,23338,19816,27420,33996,32668,24398,24762,37226,25826,31488,25370,25502,29028,29882,24224,29478,24526,28284,32270,27664,40552,30282,26684,25022,46166,35854,32592,24600,33018,28956,http://www.genome.jp/kegg-bin/show_pathway?ko00130+K03182+K08680+K03183+K11782+K02551+K02548+K11785+K03186+K02549+K01661+K11783+K01911+K02361+K11784+K00355+K18285+K03179+K18284+K03809+K06127+K20810+K02552+K01904+K00568+K14759+K19267+K12073+K09834+K19222+K03185+K03184+K01075,880892
ko00140,Steroid hormone biosynthesis,2416,2286,2722,3144,3248,1650,1276,2230,3004,3432,2508,2266,2368,2720,2380,3360,2604,3070,3968,3474,4542,3168,654,1204,4580,1258,3702,2952,1516,920,http://www.genome.jp/kegg-bin/show_pathway?ko00140+K12343+K01130+K10251+K13370+K00038+K15680+K00699,78622
ko00190,Oxidative phosphorylation,186986,150916,197732,240626,215408,206336,192990,311498,214340,218586,209700,239174,255450,210054,189738,211190,200628,211356,205198,204446,243846,225242,232250,246988,267894,225160,224390,206716,265550,260768,http://www.genome.jp/kegg-bin/show_pathway?ko00190+K02108+K02109+K00239+K02111+K00244+K02118+K00240+K00336+K02112+K00341+K15987+K15986+K00335+K02117+K00937+K02115+K00343+K02119+K02121+K01507+K02123+K00241+K00334+K00337+K02120+K00331+K03878+K00425+K00342+K00332+K02110+K02114+K02122+K02113+K02124+K00426+K00330+K00339+K00338+K00412+K03885+K13378+K00340+K03882+K00333+K06019+K03883+K02107+K03879+K03934+K03935+K05576+K05577+K03881+K03936+K05582+K05580+K05575+K02132+K03943+K05572+K05581+K05579+K02146+K02147+K02133+K00234+K00329+K02154+K05573+K05587+K03884+K02262+K02126+K05574+K05578+K02150+K02256+K02261+K02128+K02152+K02145+K00245+K03942+K01535+K05588+K03880+K13380+K02144+K03661+K00246+K02275+K02155+K02149+K03954+K02148+K02151+K05586+K00413+K03886+K00406+K00247+K00414+K00404+K00411+K02137+K03941+K03955+K00405,6671156
ko00195,Photosynthesis,54244,44398,50404,64478,55026,55274,46634,85530,56098,59714,61430,65620,74072,58162,48318,55794,52388,57536,50606,57534,60666,63772,63496,67182,68440,67920,59676,58818,75844,71156,http://www.genome.jp/kegg-bin/show_pathway?ko00195+K02108+K02109+K02111+K02112+K02115+K02110+K02114+K02113+K02637+K02635+K02634+K02706+K02703+K02709+K02704+K02689+K02690+K02705+K02707+K02697+K02691+K02714+K02640+K02712+K02710+K02639,1810230
ko00220,Arginine biosynthesis,165066,135858,170450,202978,198352,141178,125312,227854,183582,188356,183044,166952,189910,176248,164476,201824,169314,205182,204640,197834,237394,220694,178348,190294,249002,163332,211820,202648,197530,187618,http://www.genome.jp/kegg-bin/show_pathway?ko00220+K01915+K00261+K00262+K01940+K00812+K00145+K00620+K00821+K01755+K01478+K00930+K11358+K00611+K00926+K00619+K01425+K14260+K14682+K01438+K01476+K01428+K00260+K01429+K09065+K01430+K00813+K15371+K00814+K01941+K14048+K01457+K14455+K14681+K05830+K14454+K01427+K01948+K14541+K05597+K00818,5637090
ko00230,Purine metabolism,840714,684910,820802,1015390,881476,699592,629190,1053266,897740,917666,929604,809130,857286,896070,799822,905346,832054,897500,901768,891424,1032000,971636,786274,830538,1104140,769418,945814,909834,842474,790286,http://www.genome.jp/kegg-bin/show_pathway?ko00230+K00962+K01951+K03783+K00948+K00088+K03784+K02341+K01952+K02338+K00764+K03046+K01768+K01756+K00951+K01839+K02335+K03763+K01119+K01835+K00602+K03043+K00527+K01129+K02337+K00873+K01933+K02342+K02343+K02340+K15778+K01486+K03787+K01081+K03040+K01945+K03041+K01524+K00525+K01939+K01588+K07816+K01923+K11751+K00955+K01515+K00926+K02322+K03044+K11175+K03047+K01239+K02428+K00759+K00939+K03816+K00760+K00942+K01466+K03049+K01487+K06928+K03060+K00940+K01488+K00957+K00956+K11176+K06863+K00860+K03651+K03056+K01428+K08289+K13479+K01492+K00087+K08693+K00526+K02323+K15780+K03042+K04765+K02319+K18532+K05873+K03058+K01139+K03048+K02339+K00958+K08723+K15518+K15519+K13798+K01241+K00856+K16841+K19710+K00892+K01525+K03051+K00364+K02327+K10213+K03006+K01429+K00769+K03045+K01120+K02083+K03053+K01483+K13763+K01430+K13481+K03050+K00106+K00073+K18151+K19970+K11178+K03055+K03002+K14977+K14159+K03021+K00601+K11788+K11177+K21138+K03815+K13797+K15779+K10353+K05851+K14048+K13987+K03011+K13755+K01517+K03010+K13811+K01589+K11265+K19572+K14721+K02684+K02320+K01509+K13482+K18445+K01519+K03008+K03059+K01513+K01427+K03027+K21053+K00988+K03018+K02324+K18533+K13293+K03007+K03013+K03014+K13761+K02999+K03025+K13758+K02685+K03026+K01510+K18437+K02328+K03016+K00893+K01522+K00904+K01514+K03015+K03017+K02325+K03000+K02321+K03506+K03022+K13483+K03019+K03020+K03012+K18436+K01769+K08049+K08312+K11029+K12323+K20881+K12304+K08041+K11787+K01518,26143164
ko00231,Puromycin biosynthesis,0,0,14,0,0,48,36,80,10,0,0,34,0,0,14,0,4,0,0,0,0,0,2,6,0,30,0,0,2,38,http://www.genome.jp/kegg-bin/show_pathway?ko00231+K12628+K12630,318
ko00232,Caffeine metabolism,8,0,4,8,0,2,0,0,2,6,0,10,0,0,2,0,2,8,0,2,2,4,12,0,2,0,0,14,12,0,http://www.genome.jp/kegg-bin/show_pathway?ko00232+K00106+K00622,100
ko00240,Pyrimidine metabolism,721482,580432,694692,853586,746820,573572,501700,886664,764506,770606,796710,664250,730644,754568,675824,774360,706036,765582,763206,756358,869414,828348,664394,708862,933980,648088,804278,775322,732534,694934,http://www.genome.jp/kegg-bin/show_pathway?ko00240+K00962+K00876+K03783+K01937+K00609+K03784+K02341+K02338+K02823+K00384+K03046+K01955+K02335+K03763+K01119+K16329+K00560+K17828+K03043+K00527+K02337+K00945+K03465+K01956+K01465+K02342+K02343+K02340+K00756+K00757+K01591+K03787+K01081+K03040+K03041+K00525+K01494+K09903+K11751+K00762+K00943+K02322+K03044+K03047+K00761+K01520+K01493+K00857+K16328+K08722+K00254+K00226+K03049+K01489+K03060+K00610+K02825+K00940+K03056+K01464+K08693+K00526+K02323+K03042+K04765+K02319+K03058+K17722+K00758+K01485+K03048+K02339+K08723+K15519+K13798+K17723+K06016+K03051+K02327+K10213+K03006+K03045+K01431+K03053+K13799+K00207+K03050+K00608+K19970+K16066+K03055+K03002+K14159+K03021+K01240+K19796+K11540+K13998+K13797+K18942+K13800+K03011+K16330+K03010+K14721+K02684+K02320+K03008+K03059+K01513+K03027+K03018+K02324+K18533+K03007+K03013+K03014+K02999+K03025+K02685+K03026+K01510+K02328+K03016+K00893+K03015+K03017+K02325+K03000+K02321+K03506+K03022+K03019+K03020+K03012+K20881+K12304+K01518+K11541,22141752
ko00250,"Alanine, aspartate and glutamate metabolism",290764,245418,301276,363804,406952,299286,260896,458090,321624,336818,324204,340338,386642,314422,284544,421002,297234,439692,429482,408564,499540,477398,351770,388308,513774,321644,438498,414140,390324,352162,http://www.genome.jp/kegg-bin/show_pathway?ko00250+K00278+K01779+K00609+K01914+K00764+K01915+K01756+K00261+K01955+K01953+K01580+K00262+K00820+K01940+K00259+K01956+K00812+K00266+K01755+K01939+K11358+K00265+K01424+K01744+K00294+K00823+K01425+K00610+K14260+K09758+K19244+K00260+K07250+K00135+K16871+K13821+K00813+K00608+K13566+K15371+K00814+K00830+K11540+K14455+K14681+K00264+K14454+K01437+K01948+K05597+K17761+K11541,11078610
ko00253,Tetracycline biosynthesis,0,0,0,0,116,0,0,2,0,0,0,2,0,0,0,42,0,96,148,90,266,70,58,24,116,52,48,116,56,38,http://www.genome.jp/kegg-bin/show_pathway?ko00253+K18221+K12420,1340
ko00260,"Glycine, serine and threonine metabolism",268384,217726,273062,333502,291544,214156,184970,347590,287536,299410,300658,249564,293976,288668,259500,294928,270150,289140,299144,291394,344632,318314,250572,280026,367190,255286,310602,296432,288692,268224,http://www.genome.jp/kegg-bin/show_pathway?ko00260+K00639+K00831+K00003+K00283+K00600+K01733+K00058+K01752+K15633+K01620+K06001+K01696+K00928+K00133+K15634+K17103+K12524+K15635+K01834+K01754+K00382+K00872+K00018+K00865+K00605+K01695+K00060+K00281+K01753+K11529+K00130+K00613+K02203+K00282+K00302+K02437+K00836+K01079+K01758+K13745+K02204+K15783+K01697+K16066+K15918+K00108+K00830+K00303+K06718+K00314+K11440+K00998+K17989+K17217+K18897+K12525+K13042+K01694+K00049+K15919,8534972
ko00261,Monobactam biosynthesis,66990,56404,68428,83760,71418,57234,45788,91782,73290,77902,76308,64122,73768,73394,65106,75918,67080,73688,76488,74304,86798,81180,56778,63786,91524,55492,78784,75052,65432,56268,http://www.genome.jp/kegg-bin/show_pathway?ko00261+K00215+K00928+K00133+K12524+K01714+K00955+K00957+K00956+K00958+K16423+K13811+K12525+K19103+K16422,2124266
ko00270,Cysteine and methionine metabolism,258968,219666,267046,321194,289680,253638,223330,406954,286724,299842,293256,291656,313282,281562,258434,291214,266584,284676,286750,283120,327540,308088,278806,312848,357148,290604,305084,287486,312694,293124,http://www.genome.jp/kegg-bin/show_pathway?ko00270+K14155+K00003+K01920+K00548+K00558+K00826+K12960+K01738+K00789+K01740+K01752+K00928+K00133+K12524+K00812+K01243+K00651+K01251+K00016+K11358+K01739+K00797+K00640+K00024+K07173+K05396+K08968+K00772+K00641+K01919+K08963+K00899+K09758+K00547+K01611+K00832+K00549+K17462+K01760+K01758+K01761+K12339+K01011+K18284+K08965+K08966+K01697+K17398+K00813+K17950+K17216+K01505+K14455+K16843+K01244+K16844+K14454+K17989+K17217+K11204+K00025+K21456+K12525+K16846+K17069,8750998
ko00280,"Valine, leucine and isoleucine degradation",58030,51382,68522,81276,70084,57914,48764,87608,70504,74828,66384,62120,73884,72254,63780,73580,66232,69722,70998,68820,81720,75408,68986,68142,87484,68072,79290,69924,76196,73804,http://www.genome.jp/kegg-bin/show_pathway?ko00280+K00826+K00128+K11381+K00626+K01848+K00382+K01847+K01966+K00187+K01968+K00248+K00020+K05606+K00140+K01640+K00263+K00249+K01641+K07250+K00632+K01965+K00188+K01028+K01849+K19312+K01907+K00186+K01029+K01969+K01782+K01692+K00822+K13766+K00253+K01825+K18661+K07508+K15036+K00167+K00189+K00022+K11942+K18660+K11263+K07511+K09478+K07513+K05605+K05607+K01027+K07515+K08683,2105712
ko00281,Geraniol degradation,186,180,350,390,266,650,226,1142,234,234,266,860,614,338,290,262,222,360,168,190,186,410,698,694,340,528,200,240,456,580,http://www.genome.jp/kegg-bin/show_pathway?ko00281+K01640+K00632+K13774+K01782+K01692+K01825+K00022,11760
ko00290,"Valine, leucine and isoleucine biosynthesis",89806,79050,89916,111954,104038,87134,72438,148520,94666,105284,100798,104920,112888,97208,86994,99008,86936,100454,99550,92744,110496,101828,102778,121098,126202,111024,101254,95146,111444,104030,http://www.genome.jp/kegg-bin/show_pathway?ko00290+K01652+K00052+K01649+K00826+K01703+K01754+K00053+K01687+K01704+K01653+K09011+K14260+K00263+K00835+K17989,3049606
ko00300,Lysine biosynthesis,177170,145116,177106,216938,198628,139080,119090,229584,189466,200010,198922,165758,189618,191670,172136,203764,175484,199300,205564,197574,233826,219142,161926,183406,249924,167338,212104,202714,185134,167866,http://www.genome.jp/kegg-bin/show_pathway?ko00300+K01778+K00003+K05825+K00215+K01929+K01928+K00928+K00133+K12524+K03340+K01586+K10206+K01714+K00821+K00290+K01439+K16793+K00674+K00841+K05822+K10977+K16792+K10978+K15792+K16181+K05823+K16180+K00143+K05830+K16182+K12525+K05824+K14267,5675358
ko00310,Lysine degradation,24058,22344,30296,34786,27102,33122,29728,41608,33022,32778,28076,38864,43762,29180,31614,28230,30956,24498,24572,28402,30272,26676,38026,35720,34260,30796,29604,27936,45342,51218,http://www.genome.jp/kegg-bin/show_pathway?ko00310+K18012+K01843+K00128+K00626+K01844+K18011+K00290+K01034+K01035+K00824+K18014+K18013+K00658+K00135+K09189+K01582+K01782+K01692+K01825+K19199+K09187+K11433+K13609+K00022+K11703+K00143+K11430+K00252+K07511+K09188+K11431+K11422+K06101+K14959+K11420+K11423+K11419+K20796+K15588+K09186+K00164+K07515,966848
ko00311,Penicillin and cephalosporin biosynthesis,3900,2612,3316,4482,2660,2734,3942,4736,3960,4404,4652,4334,3722,3812,3808,2868,3568,3146,3502,3032,3358,3456,3588,4546,3432,3076,2810,2992,5892,5196,http://www.genome.jp/kegg-bin/show_pathway?ko00311+K01060+K17836+K19200+K01434,111536
ko00330,Arginine and proline metabolism,73716,62830,75110,93474,87108,82872,76812,122618,82160,86730,82382,90898,109342,80934,72474,87366,75980,86700,84678,86504,100272,89964,95602,96572,112446,87814,91958,83842,112882,110278,http://www.genome.jp/kegg-bin/show_pathway?ko00330+K01585+K00147+K00128+K01473+K01470+K00812+K00931+K11358+K10793+K00286+K00797+K00294+K01584+K13747+K00613+K00824+K00657+K01426+K01750+K01474+K01480+K12251+K01581+K01476+K10536+K01611+K02626+K09251+K18384+K10794+K01485+K00819+K01259+K13821+K06447+K00813+K12658+K18123+K12254+K01777+K21062+K14455+K01583+K00840+K14454+K09472+K00137+K12256+K00318+K00933+K09471+K12657+K09470+K13366+K09473,2682318
ko00331,Clavulanic acid biosynthesis,0,0,2,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko00331+K12673,20
ko00332,Carbapenem biosynthesis,17378,13810,16426,20820,15738,12498,11326,20940,18726,19106,19834,13936,16494,17216,15980,16596,17666,17652,17428,17256,19502,18636,14372,16470,20836,16116,16182,17928,16394,14520,http://www.genome.jp/kegg-bin/show_pathway?ko00332+K00147+K00931,507782
ko00340,Histidine metabolism,95610,77956,97630,126214,109130,86294,76106,140778,105462,111292,105522,100984,118474,109276,93632,107456,97318,107934,105390,108236,126084,112224,98068,111364,137400,108338,115120,111158,111078,106946,http://www.genome.jp/kegg-bin/show_pathway?ko00340+K01814+K02502+K00013+K00128+K00817+K01712+K02500+K04486+K01468+K02501+K01693+K01590+K17363+K11755+K00765+K01496+K00603+K13990+K01523+K01745+K01089+K01663+K18912+K01479+K19787+K14152+K05602+K00129+K01437,3218474
ko00350,Tyrosine metabolism,38424,32620,35326,44900,43974,34430,33234,56986,40046,41980,43364,40542,44414,39100,34386,42972,36772,44298,42788,41116,48226,45618,48222,51260,54358,51510,44254,41590,50438,47826,http://www.genome.jp/kegg-bin/show_pathway?ko00350+K04072+K00817+K00812+K11358+K02510+K13954+K00483+K00001+K00832+K13953+K00135+K18933+K00121+K00055+K00813+K15849+K10219+K01668+K14455+K00450+K14454+K05921+K00129+K16165+K13980+K00484+K18857,1294974
ko00360,Phenylalanine metabolism,56018,47180,58910,67628,62716,59424,53410,97564,62500,62902,63956,70354,80300,58446,58696,58880,59032,61686,59476,60822,68600,64468,70164,77904,76844,68184,61676,63296,77314,74556,http://www.genome.jp/kegg-bin/show_pathway?ko00360+K10797+K01912+K00817+K00812+K01666+K00074+K11358+K00824+K01426+K01451+K00832+K02614+K15866+K04073+K00055+K02613+K02615+K00588+K00529+K00813+K01692+K05711+K01904+K15849+K02554+K03782+K14455+K14454+K00129+K18355+K10775+K18359+K00146+K05714+K02611+K02618+K05712,1962906
ko00361,Chlorocyclohexane and chlorobenzene degradation,4054,2820,3044,3572,2856,1632,1632,3516,4176,3222,4514,1756,1786,3152,3324,2576,3904,3116,2710,2914,2690,3308,1666,1744,3268,1596,2826,3086,1524,1300,http://www.genome.jp/kegg-bin/show_pathway?ko00361+K01560+K01856+K01563+K01061+K01561+K00446+K03381,83284
ko00362,Benzoate degradation,11416,9940,17326,15694,11992,15348,12588,27936,16070,15808,14214,22316,20158,13064,17768,10054,15730,10856,9544,10786,10878,13034,17224,22452,11594,19028,10288,12314,21064,20030,http://www.genome.jp/kegg-bin/show_pathway?ko00362+K00626+K01666+K00074+K01607+K16515+K01615+K13767+K10218+K00632+K07535+K01856+K01821+K07823+K04073+K07516+K01055+K01782+K01692+K05784+K01825+K10216+K14333+K10219+K02554+K00252+K00446+K04108+K01617+K20941+K04113+K00481+K01075+K03381+K04116+K04112+K18364,456514
ko00363,Bisphenol degradation,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,12,http://www.genome.jp/kegg-bin/show_pathway?ko00363+K01045,52
ko00364,Fluorobenzoate degradation,72,80,150,28,128,88,130,378,190,106,68,450,90,62,106,156,260,174,34,58,72,232,86,212,88,142,122,108,146,202,http://www.genome.jp/kegg-bin/show_pathway?ko00364+K01856+K01061+K05784+K03381,4218
ko00365,Furfural degradation,0,0,0,0,0,62,4,118,0,0,0,14,6,0,0,0,0,0,0,0,0,0,12,0,0,30,2,0,0,6,http://www.genome.jp/kegg-bin/show_pathway?ko00365+K16876+K16874+K16875,254
ko00380,Tryptophan metabolism,27930,26624,34320,42082,33406,14472,12270,21020,32496,38394,31934,18676,16994,35890,31826,32658,30714,32316,34996,32752,41466,35256,15228,17958,42198,13550,34788,31284,16404,16374,http://www.genome.jp/kegg-bin/show_pathway?ko00380+K00128+K00626+K01667+K03781+K07130+K01426+K01556+K03392+K01501+K01782+K01692+K14264+K01825+K03782+K04103+K00022+K00252+K07511+K00486+K01432+K00164+K07515,846276
ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",146334,121886,147822,179722,167614,150962,135162,253788,160654,168802,163694,182170,202332,156080,140762,165622,148786,164684,165260,162786,184654,176720,181272,200472,206598,203600,172618,166454,207478,189534,http://www.genome.jp/kegg-bin/show_pathway?ko00400+K01736+K01626+K00014+K04518+K03856+K01735+K06001+K14170+K01696+K00817+K00800+K00812+K13497+K11358+K01695+K15652+K01817+K04516+K03786+K04517+K00891+K01657+K13829+K03785+K01609+K06209+K00210+K11646+K00832+K14187+K00766+K16306+K13832+K05359+K06208+K13830+K04093+K01658+K16305+K00220+K01713+K00813+K01850+K13498+K15849+K13853+K15226+K14455+K04092+K14454+K01694,5174322
ko00401,Novobiocin biosynthesis,36762,30014,37632,44436,42230,32722,30968,55802,39980,42140,41416,39104,43370,39394,36076,38320,37520,40754,40124,40472,46962,42426,40392,43822,52584,45052,41038,40614,47218,44700,http://www.genome.jp/kegg-bin/show_pathway?ko00401+K00817+K00812+K11358+K04517+K00210+K00832+K14187+K12722+K00220+K00813,1234044
ko00405,Phenazine biosynthesis,1138,860,1662,1118,2880,10516,9400,16426,1526,1592,1402,12732,13380,1036,1530,2704,1438,2226,1516,1948,1540,2486,11896,12710,2474,14046,2538,2576,12608,10970,http://www.genome.jp/kegg-bin/show_pathway?ko00405+K01657+K06998+K01658+K20260,160874
