Pathway,Description,F_MC1,F_MC2,F_MC3,F_MC4,F_MC5,S_MC1,S_MC2,S_MC3,S_MC4,S_MC5,Total
Global and overview maps,2-Oxocarboxylic acid metabolism,1.0769280795438942,1.0971662566491611,1.0831388270968432,1.0638267758171709,1.0572255301419042,1.0555716860325937,1.0687635970169422,1.0503636712548858,1.0477592527056356,1.1269151097522,1.0722176856779364
Carbohydrate metabolism,Butanoate metabolism,1.0213058841381901,1.0675908784446544,1.0858567875056413,1.0637795969528492,1.0881716705344295,1.04978075073507,1.0778154701167588,1.0539935828407279,1.031937002183453,1.0696330588167757,1.0600452899236172
Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,0.9749420112870243,1.0141495500330344,1.0154110462124906,1.018119892062307,0.997927234379971,1.1033157202778687,1.0721720183693424,1.1087618199508134,1.1047860115167392,1.1125969770271082,1.0539295249700844
Glycan biosynthesis and metabolism,Other glycan degradation,1.0429206801118587,1.055531628472277,0.9927403066786398,1.0214318483376905,1.0620905137261172,1.0197035237128556,0.9351739677814781,1.082606791097523,0.9125158474661376,0.9775743198196752,1.010758821552059
Energy metabolism,Oxidative phosphorylation,0.9470586535056977,0.9857828027158116,0.9994193256677016,0.9910109166230576,1.0125019984787338,0.9995599780087004,0.9625344648671381,0.9990286913783617,0.9877592439349867,1.0253458557335793,0.990639350051353
Carbohydrate metabolism,Fructose and mannose metabolism,0.9768478708567877,0.9543223211124816,0.9449442354588065,0.9897370872863718,0.9811420316817421,0.9734918600386175,0.9593029834210102,0.9708005978947825,0.9368543980199383,0.9398273808203471,0.9628204270688839
Energy metabolism,Carbon fixation in photosynthetic organisms,0.965593363634393,0.934037165399784,0.965118243919459,0.9595426141204831,0.9521439033882895,0.9442610004829641,0.9207766469869136,0.9021764228802751,0.9069552560963683,0.9148563288669455,0.9355836059025088
Amino acid metabolism,Lysine biosynthesis,0.8983824581433495,0.9020084468867607,0.9067031645908332,0.9042772924540426,0.8856086922116659,0.9448311848814894,0.9438998989486882,0.9579770953398327,0.9610087649479265,0.9454727616088973,0.9261129017517744
Cell growth and death,Cell cycle - Caulobacter,0.9285781384358583,0.9140316183251893,0.9221470791617556,0.9390103723676789,0.9092674505548101,0.9054439157271021,0.8868041849826631,0.9173843594566244,0.8895893713768998,0.8768142687808634,0.9088401853231084
Amino acid metabolism,Arginine biosynthesis,0.826673362767272,0.8494510425568856,0.866355147669528,0.8315180478971153,0.8544707786073146,0.9435660882472613,0.9435925822693736,0.9725950688593409,0.9678147884541424,0.9441589967710897,0.9019556763838772
"Folding, sorting and degradation",Protein export,0.9150474387415185,0.889931157647409,0.8884886159597793,0.9220448527575953,0.8795224160679306,0.8763288748773992,0.8513044522084847,0.8733173966831295,0.8506038372465776,0.8536520234882112,0.8797849889597923
Membrane transport,Bacterial secretion system,0.8602381692186517,0.8285525517670589,0.821119015904493,0.8668644530469336,0.8433782123022313,0.8623326297198461,0.844534172636914,0.8465232411849276,0.8369654782876009,0.8726540134611391,0.8485325892335058
Metabolism of cofactors and vitamins,One carbon pool by folate,0.759534717354703,0.7890826356271012,0.7925593621515795,0.8050035261483193,0.7881979939310844,0.7838431836103346,0.7815901291372624,0.8042589433073362,0.7644936068547883,0.7809189556559624,0.7848848374848881
Carbohydrate metabolism,Propanoate metabolism,0.7935692143161668,0.8043709143878938,0.8224358571878254,0.8037391325844977,0.8466383569032704,0.757240517766634,0.7824655160419772,0.7156169940169552,0.7322614723375928,0.7411918493648662,0.7778598849328849
Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.7392838303622398,0.7612660859525974,0.7414448508977487,0.7363677143331088,0.7508728709136157,0.7689382070676316,0.7750619778584852,0.7565210992912741,0.774974532228407,0.7978455779865563,0.7605132508132864
Drug resistance: Antimicrobial,beta-Lactam resistance,0.7508273778985325,0.7196765559431493,0.7559511744749385,0.7437747960316159,0.7589979990988678,0.6654141022103643,0.6730514655792748,0.6705339837566783,0.6759714480297395,0.6686682223038618,0.706654049286413
Transcription,RNA polymerase,0.6892346935088772,0.6649003217754247,0.6882971367024524,0.6958316341079033,0.6901211360725815,0.6760783322890347,0.6716545715823894,0.6359965631374367,0.6620348870099235,0.6540264083868462,0.6719921960658621
Global and overview maps,Fatty acid metabolism,0.5816755666996654,0.656187355826796,0.6249939425300967,0.631696685948983,0.5824253376419728,0.6669108362564935,0.6377379853380143,0.7465572787757349,0.6529660361008678,0.6465341407973201,0.6448745671761157
Lipid metabolism,Glycerophospholipid metabolism,0.6943832241001814,0.6376790679110754,0.6371510212578215,0.6538424448615895,0.6673606838269374,0.604404371568147,0.6069225037667246,0.5865789631956464,0.6263295755488343,0.6012187739280132,0.630734112900717
Lipid metabolism,Fatty acid biosynthesis,0.5647576758268359,0.6344229802221987,0.5905137703673208,0.6170806737821201,0.5535987959064695,0.6582066150477542,0.625985450510886,0.7407313935894286,0.6437656254590887,0.6361192224454247,0.6291143914981572
Metabolism of cofactors and vitamins,Thiamine metabolism,0.6147706826409614,0.6304182629538848,0.6064528172607763,0.6183922462102633,0.6139871709777285,0.618213524969934,0.6085335881764656,0.6179371384530218,0.6238825645201819,0.6404698784662805,0.619476448571688
Replication and repair,Base excision repair,0.6529601341147057,0.623238634698079,0.6390999463571535,0.6323383185037582,0.634708771181856,0.5978472509851049,0.5953282835925767,0.5683392720216411,0.5849935075271901,0.5969633182577231,0.6114388236539087
Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,0.6065781962439211,0.6332323886018892,0.6185361528766345,0.6229214171851466,0.6073053885446391,0.6046003724551401,0.5885300661410682,0.6244185381469293,0.602166437971998,0.604665026618494,0.6113898531836659
Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism,0.5930836265888185,0.6048656412846665,0.5885859147285221,0.5971617572654979,0.5901467327496968,0.63220086099626,0.5960453558443112,0.6481727451161301,0.6058851930836417,0.6307880028137415,0.6095973491785514
Lipid metabolism,Sphingolipid metabolism,0.6225386410769642,0.6283617865188048,0.5825284448251931,0.5926514578363433,0.6282995085760981,0.5892143028261814,0.5929535637978717,0.6489347807312166,0.5904313098130843,0.5988197250937557,0.60812731110013
Carbohydrate metabolism,Pentose and glucuronate interconversions,0.6458154188555448,0.5832816583498129,0.5925996469601194,0.6024363542966641,0.6165508760200316,0.5623889087018068,0.6100515463197478,0.5917739156683863,0.5712235888354902,0.545012486953982,0.5918792786620166
Metabolism of other amino acids,Cyanoamino acid metabolism,0.5517147316621985,0.5483576374874007,0.5136313088812411,0.4943212688170541,0.5473712131855993,0.5147785114249362,0.5342281401688137,0.5528937114362864,0.5379126645099641,0.4925856538974119,0.5293874148053568
Amino acid metabolism,Histidine metabolism,0.47656425004877556,0.5019065250283555,0.4931939321639221,0.5155517577618196,0.4911311954859412,0.5128095934237783,0.5175864763525869,0.5165618198524863,0.49213864817112235,0.519460712862129,0.5039135305677233
Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,0.46589685596398556,0.5026190760738437,0.4853455581152609,0.49813332105424757,0.46733113056566233,0.5266187468255652,0.48717143772707094,0.508671063967236,0.4961117520993644,0.5552465246398023,0.49973902897230693
Energy metabolism,Nitrogen metabolism,0.4037080259269162,0.41764510899099616,0.4265406937667687,0.4094087488108567,0.42043753361077874,0.5639480066665247,0.5581709032754277,0.5929456478507236,0.6193919923098951,0.5499057849730626,0.49942210687243355
Metabolism of other amino acids,Selenocompound metabolism,0.48537094711284856,0.49120923971254427,0.499535839784451,0.49317954030046895,0.5008207893466146,0.4934500512675956,0.5010286261761732,0.492029189405509,0.47722854512915436,0.48886332019029033,0.4920137062987177
Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes,0.4562230379582193,0.44952951336822433,0.45204527574235087,0.4451608921938417,0.441300440392041,0.4941716908969793,0.4877488205791169,0.5275416878548075,0.5149247938787888,0.4800763278330696,0.4763265243405551
Drug resistance: Antimicrobial,Vancomycin resistance,0.4758958443228869,0.49599866509424395,0.4698068309719384,0.48586681633060536,0.4728723670547349,0.4490380321012034,0.45135507564693184,0.4476262754468684,0.4434966296589139,0.4356368041889678,0.4623921156286308
Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",0.4552294618791956,0.47481154603282694,0.45822916240887984,0.4586163042983909,0.4387367353497378,0.45104258662726926,0.4430295874254955,0.4526983189494331,0.44654881545809316,0.4952227036080838,0.45735739690498683
Lipid metabolism,Glycerolipid metabolism,0.48551546726979744,0.4451549911269356,0.45325676972301665,0.4401033179385554,0.467765143624005,0.41971808123328036,0.45222114992500073,0.405976522420153,0.4490572210286831,0.4436145935663794,0.4454760520587144
Biosynthesis of other secondary metabolites,Streptomycin biosynthesis,0.421493037741439,0.4267910173470101,0.4076729918591818,0.4376217096752339,0.3960823357088987,0.41702752360273865,0.40986732393943853,0.421045162163637,0.41162409174449516,0.4265737308151063,0.4178631746397199
Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism,0.3969426760797462,0.4123505841340137,0.42340134414730424,0.3870365313495061,0.40603435606996535,0.4052763795143793,0.41590190600598304,0.3351727616678714,0.40862452983840514,0.4803809689548801,0.40581274307543924
Lipid metabolism,Fatty acid degradation,0.3688154405335684,0.41105175691185786,0.39078581924172695,0.4121923018058371,0.37715734769977116,0.4181500741373355,0.396801708755238,0.4415955419769367,0.3991697703800278,0.4144737662581968,0.4038095736511669
Amino acid metabolism,Arginine and proline metabolism,0.37205811155510915,0.3911364061721352,0.38174702067293326,0.3818374205012547,0.3834454903822706,0.4096329446843624,0.39039462162285743,0.4108109419137123,0.3945213264904731,0.4146356068541587,0.3934472373535586
Transport and catabolism,Lysosome,0.383962959483774,0.39819877919260754,0.35012176041242205,0.38411144176156065,0.39628420224766275,0.41121877004276114,0.33897960991083254,0.4496174007637072,0.31688354288606096,0.3857423004574472,0.38246861230780005
Cellular community - prokaryotes,Biofilm formation - Escherichia coli,0.38598624168105844,0.38415520985304763,0.39376714790719153,0.3702408556509806,0.39887818727078056,0.3544854223894842,0.38234851220079813,0.34819291857510154,0.39145159939359736,0.35666811339466076,0.3759601596211881
Transport and catabolism,Peroxisome,0.3339228551402207,0.379365784471348,0.35710628657921717,0.3840265198057816,0.33979185137454965,0.3858099277834732,0.3728310077686863,0.42977989297742386,0.36956005986844903,0.37192872959035383,0.3735485949545133
Aging,Longevity regulating pathway - worm,0.3622578384120125,0.3613355371304487,0.36425936843027884,0.37846884958868526,0.36846699320597975,0.3708336781909546,0.36156272952714485,0.36250771663484416,0.3597369331584466,0.35929564307027606,0.36479027255014157
Endocrine system,PPAR signaling pathway,0.3326944338061551,0.3704002687850779,0.3466031605033578,0.36656090423388793,0.3469581135006726,0.36648602215219844,0.3622518638989416,0.40022438261595195,0.35119432118028376,0.3537073824920653,0.36043929246762374
Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - globo and isoglobo series,0.360261653744156,0.35686179892080083,0.3357102494076321,0.34840647724289736,0.35510342833980113,0.36983585549353515,0.3289871615197797,0.3679648749106247,0.31678706574873056,0.3414931775144769,0.34848402993041877
Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis,0.3739549386150633,0.36590849130845565,0.3295685016621698,0.31579644622373765,0.3645104090462048,0.33176713776073796,0.3548297004621577,0.3667193973461823,0.3536413322089362,0.31811197141552355,0.34802943613118353
Biosynthesis of other secondary metabolites,Monobactam biosynthesis,0.3446263792642479,0.3513237439596642,0.3429370743705604,0.34626455680269214,0.3385301855072745,0.35094849729238137,0.34946562751411814,0.35560842644234086,0.35600063674910637,0.3399509318353114,0.347885296633865
Infectious diseases: Bacterial,Legionellosis,0.34570124793155527,0.340906067281956,0.347867328135357,0.35667221427205936,0.3429914360139595,0.34539810853798575,0.3479011062376066,0.3492990993066787,0.3442128846971035,0.3313543401792223,0.34526953434598906
Glycan biosynthesis and metabolism,Glycosaminoglycan degradation,0.3542369697013491,0.35467904761690006,0.33277105966323417,0.367561096157508,0.36535824850901377,0.3556792459738968,0.29270516810734554,0.385721124135274,0.2866423456574106,0.3413979771639111,0.3439501035628429
Amino acid metabolism,"Valine, leucine and isoleucine degradation",0.2998070655904732,0.3374605672898482,0.3359525482037653,0.3408861662700182,0.3342506148854771,0.35320250749280213,0.3255880527940255,0.33480403475734577,0.3306885441731537,0.3336010684525745,0.33258525858196175
Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis,0.27380246984948226,0.30407890375374597,0.2744823970978082,0.3170042251503732,0.276809491280173,0.38616629303255157,0.27702270483564656,0.3975695488601668,0.32621551326056325,0.3582674792841657,0.3211178528049116
Endocrine system,Adipocytokine signaling pathway,0.2805587871868429,0.3243279809324948,0.2975955953028588,0.3241187978900857,0.2980660378120251,0.3290854892614232,0.3169366226399825,0.35829603592350606,0.3080865820912998,0.3108196245621855,0.31564979161817547
Metabolism of cofactors and vitamins,Folate biosynthesis,0.29781088092261665,0.3141267754584792,0.30517006636458677,0.3068135904568858,0.29197976166828965,0.32668893296137114,0.30270692912504427,0.3211939147932745,0.3200409764714189,0.3328394656480483,0.3123345831798502
Infectious diseases: Bacterial,Tuberculosis,0.31295839987282226,0.313134615774888,0.3190864450468437,0.3187875862217335,0.3223707690792141,0.3077124834479478,0.3093747698035101,0.30132363128161116,0.30681483800830844,0.3070972908550638,0.311518716666182
Drug resistance: Antineoplastic,Antifolate resistance,0.2835937104827696,0.2956004482757843,0.2992179437639243,0.30232216257345984,0.3001048898535418,0.2977253473425264,0.2972497299105457,0.3060433357363403,0.29611464641348434,0.29405484282755323,0.2972258071532348
Cell growth and death,Ferroptosis,0.2589801212524117,0.3044938068941569,0.28222542384380284,0.3024731349392893,0.26856324317166247,0.3099219479922337,0.29478188384938164,0.3452676850849309,0.2901155226013043,0.29209371560589836,0.2958768092937156
Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae,0.2689249145524572,0.27980707003970895,0.28671321893739965,0.2745809903522997,0.29264592124621097,0.2996586288187766,0.2827685954761681,0.30247078166991337,0.2946938013000733,0.3268513635974613,0.2910056334612599
Amino acid metabolism,Phenylalanine metabolism,0.2888415986819762,0.28367649280571483,0.3091732638659173,0.2757415904146135,0.2979146379079521,0.2747397887769714,0.2947260080895063,0.281051845134042,0.2827130949734096,0.2985292593041445,0.28818105369649943
Drug resistance: Antimicrobial,Cationic antimicrobial peptide (CAMP) resistance,0.2899706624081394,0.2871039535308483,0.2823202364162028,0.3076156311503547,0.29338273411269966,0.2861078402225715,0.2572892489729803,0.2969726537374078,0.2688379284955311,0.28665777558859284,0.285644752926376
Metabolism of cofactors and vitamins,Biotin metabolism,0.2657093410603444,0.28140354516694216,0.27007887984634465,0.2778457677633614,0.2547959452279558,0.2975738921116681,0.2820422105977877,0.30970602304756234,0.2863090610011783,0.2977486164295051,0.283055785801463
Nervous system,GABAergic synapse,0.20922905722275614,0.22064729399720842,0.224705796587843,0.21725867020143302,0.21442263747515022,0.31346778222056354,0.30403863473540826,0.3291338342665948,0.3398889548149327,0.3005570267711954,0.26938470886348603
Energy metabolism,Photosynthesis,0.2774335387928231,0.2692991970271288,0.25450854851222215,0.2744017106678772,0.2643846058192471,0.26583065755001206,0.2738750370293317,0.24854651948836437,0.27966090917423025,0.26192472451160553,0.26701379892682414
Metabolism of cofactors and vitamins,Vitamin B6 metabolism,0.25127539038507396,0.25871014731316394,0.25178005337315745,0.25787967238241755,0.2528277464750065,0.26028026879561644,0.25074247244091113,0.2640576315244793,0.2566204146499656,0.2526236502613297,0.2558864145280639
Energy metabolism,Sulfur metabolism,0.25770653736929955,0.2868243448927453,0.25231732461675704,0.2532089648145691,0.2676043771125333,0.23721452804901874,0.24660766621013067,0.22952840483658268,0.24155243992872968,0.24960579914839479,0.25179045047926335
Endocrine system,Glucagon signaling pathway,0.25272962446437214,0.2422132376650875,0.25534079220328826,0.2456414749773683,0.2645662857041347,0.24155327495654794,0.25952427936799677,0.22598862649553583,0.25974276563993065,0.2487299559231897,0.24912109786546127
Metabolism of other amino acids,D-Glutamine and D-glutamate metabolism,0.2486378975207567,0.2524866002070006,0.2453960068315619,0.25143503951607316,0.24602484411865877,0.2479322129150508,0.23776067089652375,0.23923821348042643,0.24422748782743572,0.23467838417968193,0.24475071438907364
Nervous system,Glutamatergic synapse,0.18666584771911063,0.19121622992849685,0.19772635237492853,0.1855733449229786,0.19014818618877588,0.28306091734295136,0.27885729228488926,0.29487500731308375,0.3122789522407473,0.2700453144148658,0.24098553200719636
Endocrine and metabolic diseases,Insulin resistance,0.21114394930232894,0.21087001129709093,0.20428948933105726,0.20060453109587256,0.21597700982363324,0.24729075546670973,0.25223249270425546,0.22616069905378122,0.26489990716268197,0.24244673278584883,0.228145105121074
"Folding, sorting and degradation",Sulfur relay system,0.24965857112920825,0.2290986905747085,0.23269112212997078,0.22352402338335486,0.2418865800739962,0.21070986264881478,0.23170746357668745,0.1895092441475255,0.22429180299543972,0.221912017168812,0.22482527682706538
Infectious diseases: Bacterial,Epithelial cell signaling in Helicobacter pylori infection,0.23110579598089442,0.2273759405786546,0.22700236778597474,0.22934589524065277,0.2273824692638008,0.22169482145165562,0.2192006059912411,0.21558233368736576,0.21250405094343677,0.2157620745222632,0.22249409764927974
Cardiovascular diseases,Fluid shear stress and atherosclerosis,0.20893098439904906,0.21434257018966033,0.21427641362385028,0.21343718219137522,0.21269667856871777,0.2052307469442348,0.20299663562737164,0.20835528624106184,0.20062859240295167,0.20253874582867765,0.2082076559342892
Endocrine system,Insulin signaling pathway,0.2069257672213832,0.20158880843876908,0.21396037171585053,0.20105744819336085,0.22012536719523398,0.20483874517024858,0.21272833047233922,0.1901811465178168,0.21771381635927733,0.20236738519765926,0.2067949040663406
Carbohydrate metabolism,C5-Branched dibasic acid metabolism,0.20139787121808816,0.20977863564514057,0.20621734496985591,0.2071812647823177,0.18545478916251223,0.20342219330516204,0.19997003196745347,0.1925655805392164,0.19555038671983435,0.22770019848321088,0.20279503301575244
Glycan biosynthesis and metabolism,Various types of N-glycan biosynthesis,0.1888788126223905,0.20750568800636787,0.18446312696920444,0.20568097689688758,0.19426626357956206,0.22534756525470892,0.16645388866885222,0.23935292851925663,0.16450228979714804,0.20021585727487282,0.1983193168297859
Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - ganglio series,0.1880749192493623,0.20708176523246977,0.18428403655467124,0.206275430587341,0.19386253050203403,0.22513374610526193,0.16620244774941287,0.2392300195490814,0.16425671162939798,0.19999689646857155,0.19809109595903163
Amino acid metabolism,Tyrosine metabolism,0.19584287768536515,0.18932210689618628,0.18112361747467345,0.18446935949785082,0.18557590908577068,0.19713234665892876,0.19365607110153193,0.1975802665223661,0.20004972957896938,0.20931701078896053,0.19369391731968094
Metabolism of other amino acids,Taurine and hypotaurine metabolism,0.18531097124771478,0.20406018801426,0.1967676919206625,0.19455620068983048,0.19627483564026413,0.197301620152241,0.18847825068641044,0.19399132459324916,0.18913904241178808,0.18792549201683179,0.19333911240320467
Biosynthesis of other secondary metabolites,Novobiocin biosynthesis,0.18704521313110148,0.19004367757516175,0.19002546455000058,0.18585641810890882,0.18935081336065798,0.18280646364597822,0.18911150929833176,0.1924017019123161,0.18605177401721593,0.20101554021962528,0.18932907767011328
Environmental adaptation,Plant-pathogen interaction,0.18586195434608244,0.1943731016490145,0.19099465973453322,0.18886642965263334,0.1915410653062477,0.17868153588789604,0.1813634039289413,0.19812925992248212,0.19355067878244098,0.1758731276352052,0.18803089822311017
Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis,0.17462551214330618,0.18149306502930254,0.16950380999054823,0.19243315179535395,0.1633302165139748,0.1909761369810999,0.17417405615830497,0.1989240712629487,0.18784098638225205,0.19714088595159845,0.18355795395055363
Aging,Longevity regulating pathway - multiple species,0.16437361350974428,0.17762364226329663,0.1697671782472147,0.18227082442045955,0.16461206903512637,0.19203632359710807,0.18012482458503634,0.20800294719322618,0.19821666396969215,0.17353119901128725,0.1817839293681722
Metabolism of other amino acids,D-Alanine metabolism,0.18169796732399252,0.1862193529765918,0.1787322337041418,0.18910232397424184,0.18034756573178234,0.17533170254655936,0.17212527829620652,0.1764972811716404,0.17536035307124004,0.1701801466713721,0.17852046331349966
Metabolism of other amino acids,Glutathione metabolism,0.16158256797866882,0.18129463309258428,0.17152647820174682,0.17095733275611566,0.173463916759929,0.17902899200574746,0.16713371041400304,0.1819462455160759,0.17256251608865897,0.17659665029950505,0.17375000033493954
Cell motility,Bacterial chemotaxis,0.15013837805027858,0.16344477842142885,0.19123695853066638,0.16325774209881405,0.1261968667083319,0.13862608189148695,0.18892525676541372,0.17237573370509746,0.21171469254709727,0.13479417636607505,0.16435875770195774
Amino acid metabolism,Tryptophan metabolism,0.14422208412518336,0.17314990405364877,0.16763916273334956,0.1693249440505848,0.15500322178995868,0.15496542856173035,0.14566810599519897,0.16988477857621267,0.15460899789635987,0.15901314555000717,0.1593656176794633
Immune system,NOD-like receptor signaling pathway,0.16019156146803576,0.16405811349855798,0.16245607544215318,0.1634275860103722,0.1559015278874586,0.15352214930296293,0.15612618571854692,0.1605355029115496,0.16023975445691485,0.15144471768002837,0.15881031102633245
Metabolism of terpenoids and polyketides,Biosynthesis of ansamycins,0.16573752249094942,0.1594761396870638,0.1632777844029526,0.15952117604453533,0.16286592347481754,0.15410124283271529,0.15380734168371732,0.14698274046689347,0.1530215104548327,0.15572873345548807,0.15719243756604603
