Pathway,Description,F_LW1,F_LW2,F_LW3,F_LW4,F_LW5,S_LW1,S_LW2,S_LW3,S_LW4,S_LW5,Total
Carbohydrate metabolism,Pyruvate metabolism,1.4127468722668493,0.9316288763410846,1.1662048045465774,1.6123496904319499,1.0892395222434759,1.4262809834563426,1.3419683436990066,1.658672117484971,1.545851833688052,1.4244365971799888,1.3443392983788915
Energy metabolism,Carbon fixation pathways in prokaryotes,1.3864284207443118,0.9041858817082453,1.1206993640020484,1.6030187842215493,1.0459125013296848,1.4428333718575392,1.3054934982178859,1.5888417340145444,1.5812854192326462,1.472287368820016,1.3267911398472583
Replication and repair,Mismatch repair,1.331876544141726,0.8438648478831624,1.049985703799248,1.5173924829807532,0.9919734814681758,1.4638983769744423,1.233204058321748,1.4703072360600116,1.4626347907287844,1.3773945709761313,1.2566936472788475
Translation,Ribosome,1.2336533225133184,1.0359296249298184,1.1247761225980475,1.3197953072151511,1.1194512335334073,1.2782285543864518,1.2268994658246801,1.2798447109059141,1.309035385700022,1.285576690676016,1.21433615769367
Amino acid metabolism,Cysteine and methionine metabolism,1.2651073849400885,0.8081281634166644,0.9980896686988285,1.3446204965072195,0.9288875045304827,1.3354220652252333,1.1224509679039074,1.3786631205323714,1.3297971193328484,1.23470154808198,1.1607800388082414
Carbohydrate metabolism,Galactose metabolism,1.1922078233757714,0.839920641112356,0.9913606559583282,1.4072671878811873,0.9369133860875801,1.1036702462776655,1.109648538695302,1.2845247479654618,1.271373379749119,1.1198091495561546,1.1158428092700539
Replication and repair,DNA replication,1.161810726873601,0.7149073791694065,0.8957221029494876,1.2271729723391422,0.8539792766642398,1.3156069906039232,1.13216954152327,1.2816955730198596,1.272793785122606,1.2158645189645327,1.0915037270652599
Energy metabolism,Methane metabolism,1.086536100702242,0.647899286525562,0.7987062666311878,1.1886647430292465,0.8264173802376044,1.238497307824335,1.0911131977907678,1.2977099371200445,1.2031173730291558,1.1353353770442831,1.0354099800640222
Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis,1.0963534489077906,0.6754218890014817,0.8371757570119657,1.292806927154894,0.7850586112294823,1.1508459318208868,0.9839270734983434,1.229201598016722,1.2299689883830405,1.1565396714488514,1.0283609264257931
Amino acid metabolism,"Glycine, serine and threonine metabolism",1.0805611345049448,0.6693210333908585,0.842724241201501,1.2617582723591088,0.794829803537885,1.1731241047717476,1.0087831105844849,1.234022653142094,1.227723557133935,1.1298173743287518,1.0266928297633113
"Folding, sorting and degradation",RNA degradation,0.9986338404552215,0.867754437883954,0.9228900000023611,1.1108156276455095,0.8472591932969875,1.0635621824337893,0.9672436563158088,1.0207063876953275,1.1138189537702279,1.0674597314274348,0.9900383747235894
Energy metabolism,Oxidative phosphorylation,0.9683610928853572,0.6983417107320202,0.8119517969730147,1.0964029399479358,0.7617389664830269,1.0346851117194311,0.9350201835530172,1.0884303138075018,1.1293073261362159,1.0984110932241709,0.9499198311496253
Replication and repair,Nucleotide excision repair,0.9864538625358614,0.6453445984703425,0.7917726289418537,1.1345334692824336,0.7475853880545582,1.0617516213482614,0.9475246945976487,1.0883421775163615,1.0962127314761065,1.0375024525626573,0.9410373528954568
Carbohydrate metabolism,Citrate cycle (TCA cycle),0.9415079409539043,0.5986654541185986,0.7478176158942587,1.1064892461091322,0.7234058274269851,0.9975640141334053,0.8741402041528503,1.08369739497327,1.0784534115968187,1.0253965443149957,0.9047923184951937
Global and overview maps,2-Oxocarboxylic acid metabolism,0.963082480708973,0.5670177179557806,0.7234672469830216,1.050134692961681,0.7117046016965185,1.0418814027344987,0.8930781371708628,1.117145117460998,1.0347610618746441,0.9612444974771777,0.8937325022879401
Carbohydrate metabolism,Butanoate metabolism,0.8885228608983725,0.5538317643109935,0.7066643906076203,0.9889730492182555,0.6946082000304473,0.9675656822391768,0.8508059652556564,1.0425641878981116,1.008479309754434,0.9662401854318494,0.8546987284463332
Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,0.8536740726196521,0.552138288376372,0.6696351450590198,1.0281680057561475,0.6548928258173501,0.9647257666278667,0.8437606032697889,1.0404224760234033,1.0612894712154,1.000325435793742,0.8520589401328685
Carbohydrate metabolism,Fructose and mannose metabolism,0.8888772553554444,0.6103605699747875,0.6991562290234833,0.9943552738676769,0.6704413788974095,1.0012035176352785,0.8039361914045297,0.9502237956704634,1.0072205073875113,0.9189285774159353,0.8432700437391478
Carbohydrate metabolism,Pentose phosphate pathway,0.9157428421801278,0.5267940459702003,0.6753331628650106,0.9880631356411602,0.6813527559667015,1.0082619486692146,0.8102890949552148,1.0028411614811974,0.9709874122314934,0.9063593254288014,0.8374227371588355
Cell growth and death,Cell cycle - Caulobacter,0.8249121645773041,0.4576220674098952,0.5847551422446396,0.8525632694671289,0.5558942137852797,0.9600109552731672,0.7202131354856123,0.9015373084445848,0.9156766568794782,0.8654755587441092,0.7512931121980454
Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.7889566708010615,0.4890888766566211,0.5940498370359037,0.8684180843434949,0.5801884298636684,0.9356097386128805,0.7297867759441228,0.8834429278734899,0.8823439104202213,0.79835811197367,0.743496183525071
Energy metabolism,Carbon fixation in photosynthetic organisms,0.7531379608503552,0.4959062028549688,0.6056583677870592,0.8474643197992558,0.5576076758002473,0.8510004728597352,0.7070564252171462,0.8366073027615568,0.8613950575166365,0.8021154084792074,0.7211223203896805
Membrane transport,Bacterial secretion system,0.7484562235490391,0.43415946493108065,0.5698962228831608,0.8458505108134645,0.5432184167228797,0.9714533337070871,0.698046413717505,0.831583534166562,0.8370610468965971,0.7717706057595985,0.7122928718564322
Amino acid metabolism,Arginine biosynthesis,0.7083350405405497,0.4534462741864911,0.5555488658937667,0.8151022991799275,0.5317210229049742,0.7505648812726866,0.7180149825460215,0.8385903693122125,0.8400379443859414,0.7902875064752287,0.6895142671746051
"Folding, sorting and degradation",Protein export,0.6977529464013201,0.4800497679286633,0.5770817066633674,0.8186217762234089,0.5330268210948194,0.7370362217909758,0.6667811101847914,0.7652257205670618,0.7969409741616356,0.7626469463078117,0.6745552067820271
Amino acid metabolism,Lysine biosynthesis,0.7137131318627787,0.4309317287479988,0.5472930362273518,0.8138490219888341,0.5279182837862542,0.7689737840864548,0.6519013056706388,0.8082362306435078,0.7873213425603548,0.7070878197292944,0.6663028463882069
Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism,0.7037341300452326,0.42779083748464114,0.4879518010655136,0.7206687212400783,0.5226632422905356,0.9716095750190362,0.6863390350575602,0.7808610986153436,0.7869641148616334,0.681898769165266,0.6654668484348734
Drug resistance: Antimicrobial,beta-Lactam resistance,0.6270792307252782,0.3672961138201097,0.4539132278460241,0.6878946642839521,0.43288802430185974,0.7065232126338563,0.5648447870521223,0.6735375368938514,0.7048697875269185,0.6646792309201577,0.5791141867066827
Energy metabolism,Nitrogen metabolism,0.5732237081436053,0.38088010668029937,0.4720461463888458,0.6632583249795827,0.4297286296571611,0.6588144684969264,0.5787825260207361,0.6725415968039665,0.6891177470975888,0.6163566911090318,0.564290820011754
Global and overview maps,Fatty acid metabolism,0.5919444399022543,0.4483875576125579,0.5055416764748913,0.7091746242614893,0.4530227954145464,0.5179491397766944,0.5396022615370419,0.5921172311384811,0.647645312360325,0.6096508435341266,0.5569688192805522
Metabolism of other amino acids,Cyanoamino acid metabolism,0.5819467857448622,0.49670951836241745,0.5217149176231112,0.7166170305948998,0.5081274790260146,0.4096831012613729,0.4969597048774357,0.5880541481169153,0.5813710688261251,0.48456488273991494,0.538615076900231
Metabolism of cofactors and vitamins,One carbon pool by folate,0.5622623497608428,0.35520295874851837,0.4499387817244421,0.6625630136612364,0.40575927068941686,0.6295973431624436,0.515881534210909,0.6345019735478312,0.6426271137354305,0.5782698357244257,0.5352352120403919
Lipid metabolism,Fatty acid biosynthesis,0.5708486435365632,0.4297303740251477,0.4905174831162774,0.6883925415242494,0.42449269740324513,0.49786753585852994,0.5192230487527777,0.5667427929192009,0.6231667095765175,0.5819007657555616,0.5347064745288619
Carbohydrate metabolism,Pentose and glucuronate interconversions,0.6146567723879216,0.43132253088675754,0.49974134619448357,0.6849932417456674,0.45999129892523255,0.48728907997303456,0.5059777682193464,0.5697394268179697,0.5790660996272329,0.5065105271276387,0.532386424238594
Glycan biosynthesis and metabolism,Other glycan degradation,0.5541672342677306,0.42899942928413587,0.5036764413643668,0.7619839480944092,0.480444557401296,0.37947338406274284,0.49991473099036526,0.5348110146390854,0.6048290210421574,0.5108575338470496,0.5243758169842638
Carbohydrate metabolism,Propanoate metabolism,0.5062866778833549,0.3187353295410087,0.40115934199857034,0.5840529233205527,0.38368172666013134,0.5549231867161798,0.47563842654763255,0.6100794072728657,0.5844415259508488,0.541497191673595,0.48848171456068007
Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,0.5072752518951865,0.29172655950679033,0.3776904344053871,0.5584637499873385,0.3707957279379026,0.5727071242821515,0.5065172416514071,0.6019884957461901,0.57685469006372,0.5523647084721224,0.4835616482476379
Transcription,RNA polymerase,0.4806148408088078,0.3431966485966512,0.4143497810080187,0.5652194290927526,0.38858006230886777,0.5002387275339928,0.4830461214356306,0.55824645445328,0.5527843475070228,0.5182289115204691,0.47452787931907875
Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,0.49759468751517444,0.3105719070869362,0.38987348905134533,0.5794518508929771,0.3695408877261977,0.4980421585012966,0.4570628264317504,0.5508694468848404,0.5708498625566428,0.5501238096594028,0.4709319963313727
Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism,0.48775868696978003,0.33841294093517793,0.3950678146755911,0.560446674858178,0.36602478723451687,0.5291066075829423,0.46178925784398395,0.5312767493643611,0.5494927494259478,0.5304948839690395,0.46864080044807616
Endocrine system,Insulin signaling pathway,0.37135565143825394,0.8215601776673367,0.640523310992224,0.22961583277093237,0.7321132719417092,0.2952685075875836,0.44141004505971976,0.28733312274635503,0.2675805571850526,0.35051532669482505,0.4592810547056239
Replication and repair,Base excision repair,0.48489866152674505,0.3045361851661061,0.37899688600178827,0.5303937745429873,0.35852122495335753,0.5550610466973114,0.460001748860141,0.5296726688656084,0.522624123229267,0.49940873126627544,0.45593628304345274
Environmental adaptation,Plant-pathogen interaction,0.459419565297272,0.6535369692309897,0.579859883853305,0.3163752339379223,0.5696783468722312,0.4207027090864892,0.46753827322445196,0.30747226527190397,0.31006513706869326,0.37738083915257964,0.455543239229572
Lipid metabolism,Glycerophospholipid metabolism,0.45055970387047867,0.3553549373580357,0.3599116744278549,0.4748804622498317,0.39278409550544263,0.5177469451377015,0.4537454674166904,0.50152193747541,0.49932777401979905,0.4898638502331504,0.44508312677802125
Infectious diseases: Bacterial,Legionellosis,0.4501058302675622,0.45005932231724827,0.4388103325840125,0.3824383932711719,0.45575541699232,0.46586563890518956,0.39999136842508703,0.35002446663442055,0.38622268026751594,0.4032606931100028,0.4209600627010942
Lipid metabolism,Sphingolipid metabolism,0.4395796931478702,0.34588160403145696,0.3972557275900462,0.5733657308348594,0.38530601221335337,0.31349359709317637,0.41194030235311874,0.4595955037799892,0.4789232680856942,0.4068495009830048,0.4197715730734074
Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",0.46170758565169995,0.26211967895749044,0.3428805825326005,0.48452039571283056,0.33415694165502596,0.5101922181716918,0.4137761223905791,0.533656429225148,0.4739390911463921,0.43819681106619857,0.41966551363156657
Metabolism of other amino acids,Selenocompound metabolism,0.4538425156833536,0.2827453473919819,0.362500967049638,0.5090880622944003,0.334583714721951,0.4348011898235438,0.4141948181885964,0.4989924259196846,0.48549795882644575,0.4560060595251805,0.4184146360969146
Transport and catabolism,Endocytosis,0.30518336711168453,0.9792995001930128,0.6901133803230918,0.07497344511650242,0.7626434705950172,0.14869577564850484,0.4656621939756438,0.11517650526208913,0.12411961446285669,0.27434161592561296,0.41705535957391054
Signal transduction,PI3K-Akt signaling pathway,0.33934201881610737,0.8424753291675755,0.6225084453044988,0.1741111045681267,0.7201381470787384,0.21244223092373998,0.3950877964829231,0.1927188142072881,0.1840403082126563,0.28256386119333593,0.4153896024579401
Endocrine and metabolic diseases,Insulin resistance,0.34961324062457233,0.6645590369593163,0.5206209611658837,0.24956525874422655,0.6106294520552308,0.3084754937799874,0.3908283719223242,0.3207015225720567,0.28382591205547375,0.33379282991569587,0.4138096287140467
Amino acid metabolism,Histidine metabolism,0.4376398498038986,0.2753924775220018,0.33957510258989865,0.5084957600602534,0.3216212790325118,0.4978491545277124,0.394814033845758,0.49076049632718444,0.4723825990305351,0.4504796323780224,0.41270770230727405
Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis,0.44574740019024145,0.4064342243091378,0.414373391579038,0.5616999520492714,0.4090078417958611,0.28449704772850404,0.3615679771147318,0.4217145258479064,0.42567082471202555,0.3393866525158681,0.40878974174986027
Metabolism of cofactors and vitamins,Thiamine metabolism,0.43244828188012846,0.2872033866044896,0.35334793568448974,0.4940058155495303,0.3552535446051107,0.4563165375454765,0.385506104182143,0.4745698596447191,0.4489671739214935,0.41158403155724693,0.4058894839248161
Endocrine system,Glucagon signaling pathway,0.33396392749387843,0.6481598212847346,0.5114128384683571,0.2284140601219387,0.570340800588055,0.2952317449259485,0.3759324637236324,0.3008620434363846,0.27140799681420935,0.31814023595316593,0.39540363646164206
Biosynthesis of other secondary metabolites,Streptomycin biosynthesis,0.40433920573238635,0.27054363617073535,0.31711357936020546,0.4508192569989093,0.31848736337688327,0.42078542507516814,0.4042749485124946,0.4304929004454761,0.47157458399771307,0.4249873022754306,0.3867699299864971
Amino acid metabolism,Arginine and proline metabolism,0.3811854345370331,0.27794716557722127,0.3261092069185584,0.4693008035223613,0.28949864356231936,0.40353454610290507,0.3848861123273866,0.42557489539984966,0.480054489131645,0.4645147354682135,0.38434460010322546
Aging,Longevity regulating pathway - multiple species,0.33063137610808113,0.6424931902727321,0.5149780346922712,0.24225161376606533,0.6145595861193015,0.21700999163189916,0.31724258542078687,0.2284316393773206,0.2263547796683345,0.2757653448705363,0.37461520601200443
Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis,0.3781699729286157,0.24863700517031231,0.3018768908624178,0.42419140873335054,0.2538726470949812,0.5089606690069164,0.35388651958956857,0.3691412281827425,0.5124431338157098,0.47074881487201986,0.3744436392678502
Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes,0.39007638319690285,0.26954491959390736,0.3180422618202979,0.4622532653450487,0.3047924067516773,0.3744277087533276,0.3725345862858768,0.42728473944797063,0.4449951421285685,0.4071864782480754,0.37295100859370806
Cell motility,Bacterial chemotaxis,0.5329035668434265,0.18588431359295238,0.3630125294217228,0.5035856603800795,0.29964565095950685,0.5002111555377665,0.2788997125331273,0.30643225703644894,0.3383031361104725,0.32852756014896756,0.3632785434675927
Drug resistance: Antimicrobial,Vancomycin resistance,0.3784497580263039,0.24978046328001394,0.2933534747244509,0.43621771931363673,0.2702046790889478,0.3989484040639284,0.34911177712371766,0.4270027033163219,0.43202437449642594,0.4162258933835946,0.3597512871775484
Signal transduction,AMPK signaling pathway,0.2856046277201251,0.7557027802098376,0.5507716603575286,0.11717283327687864,0.6460643561045428,0.17104747392263575,0.3481375042091005,0.14847439605487858,0.14834305460472033,0.24082922691434044,0.3588380841893455
Cell motility,Flagellar assembly,0.4993355725674566,0.15092199632732833,0.28089496341660075,0.38826699061879105,0.2905050636305903,0.6289539965838297,0.2552675554719595,0.28529717442101504,0.3270589690221496,0.33029669079058827,0.3414661714948889
Lipid metabolism,Glycerolipid metabolism,0.3667796107293979,0.23252003548483421,0.276810334630262,0.38418954770256264,0.3010087768747599,0.3952905192312376,0.333201336799061,0.42075384027447754,0.3770283197361414,0.3428912160726024,0.3395976536812815
"Folding, sorting and degradation",Protein processing in endoplasmic reticulum,0.29556497719782543,0.57851743274259,0.4786571062742495,0.19290167834417704,0.47515129742197215,0.20827885949356675,0.35512650329908135,0.2007039621845955,0.20694540803781036,0.27750077778564997,0.3370288316119899
Aging,Longevity regulating pathway - worm,0.32264817465404416,0.3570918357525192,0.33938621802174423,0.31804054746581345,0.3505080828907951,0.35323403432070183,0.31930385704179504,0.32316933872398396,0.32251707399555013,0.34182131325600323,0.33509090725188373
Infectious diseases: Bacterial,Tuberculosis,0.3080185227682584,0.369583030039513,0.3448402599272023,0.2989666987082146,0.3352143197014372,0.3247337808881032,0.33837867137839006,0.2867690504830574,0.30884035638736307,0.3387969423019945,0.3262115483930634
Endocrine system,Adipocytokine signaling pathway,0.30057002172313674,0.5056617821706512,0.41231927190035894,0.27706010013513077,0.47893492729888953,0.20025540859170973,0.2740605553291199,0.228898761720364,0.23018221929749133,0.2629686332294798,0.32608911212564423
Cellular community - prokaryotes,Biofilm formation - Escherichia coli,0.3147395825593908,0.2142898394194012,0.24995724519097923,0.32423826069848055,0.23640680008739293,0.3950147992689745,0.3160267572380829,0.4093490042009281,0.37713889021431707,0.3751904869296207,0.3153934853252998
Cardiovascular diseases,Fluid shear stress and atherosclerosis,0.26589532194964455,0.5050611048092256,0.4001047364930416,0.19930540974524308,0.4756290284670375,0.21814963414258673,0.2768384409121191,0.21547560457970272,0.21133420547924353,0.24481398307380048,0.31018721448905484
Signal transduction,FoxO signaling pathway,0.22942999755094778,0.7317914789791148,0.5115466317041331,0.07464724968320414,0.6274710638306004,0.10151089943987489,0.28152461311300486,0.08606508829846192,0.08308095621689743,0.16670265303043233,0.308469207501001
Transport and catabolism,Autophagy - animal,0.21409155675101857,0.7509480208549391,0.5218014897168486,0.04843143775444317,0.6173049471916102,0.09662146544240875,0.277965698829858,0.07448397964263201,0.07129244215909442,0.16381307298245185,0.30286677345552715
Transport and catabolism,Lysosome,0.26749942317639025,0.42543155049880105,0.36587727870539777,0.2597889103510223,0.35259099024727997,0.17470535875532658,0.33450573524673016,0.1942964538186987,0.24128179422204613,0.2697839984155329,0.29392970578276395
Metabolism of cofactors and vitamins,Folate biosynthesis,0.2944955763799949,0.18943771822499983,0.22738553929652935,0.3342816464079273,0.23217091815448038,0.37823264423255876,0.27369017058471995,0.3065115796984752,0.3429896233008401,0.32706170904591036,0.2861234189237448
Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae,0.295111103594909,0.1889600711665169,0.2357436814373612,0.35006778856149356,0.2116603319530091,0.3366632645886879,0.27997865939724875,0.33605486448868965,0.34494587022240913,0.32613502156696617,0.28568982297033674
Amino acid metabolism,Phenylalanine metabolism,0.3032994807872506,0.19326613176950722,0.23383909537513775,0.3446512275506723,0.22406859963017248,0.31332816511581846,0.28247473050081334,0.3433084812495329,0.32879407498736735,0.3140459621825579,0.28432274795896206
Lipid metabolism,Fatty acid degradation,0.28333525970554296,0.215020784160413,0.24812349084181365,0.33734616666286105,0.22980774191822392,0.26087703762796277,0.27257096450925067,0.30865329157318344,0.291523318420778,0.2908956240722068,0.27158079781015954
Nervous system,Glutamatergic synapse,0.24676423871438624,0.3136549017371445,0.2876397165377805,0.23610540507549793,0.2854283750583628,0.2199877672243409,0.2933688730915322,0.259640700070086,0.26212007664745546,0.26946387001371586,0.26867820043860413
Metabolism of cofactors and vitamins,Biotin metabolism,0.28636315620719094,0.1814262743804447,0.2348543499289676,0.33892563928725267,0.20463450071691505,0.28330226122536384,0.269100620491069,0.29740710082368654,0.3277734244195922,0.28521755715576697,0.2674569571597606
Amino acid metabolism,"Valine, leucine and isoleucine degradation",0.27234903153631923,0.17645440272623572,0.22789710166861415,0.31711346570801835,0.1978443501297199,0.3128134878529273,0.27773219540404065,0.30028915754397295,0.32403954442581473,0.3108783758908942,0.26728928965979165
Endocrine system,Oxytocin signaling pathway,0.19111187406089356,0.6291624950950713,0.4453976818983969,0.05055170807088192,0.5327592917095828,0.08537209098207314,0.2530532988478297,0.07227175873501154,0.07393762821391169,0.1520104442733536,0.2647189078928259
Cellular community - eukaryotes,Tight junction,0.19082587151659003,0.6390049193304778,0.44509074447514607,0.04314363809887121,0.5322433421809123,0.08199911677705422,0.25543664415962036,0.06723917651090282,0.06967641209345042,0.15168189143990976,0.26405525653248374
Endocrine system,PPAR signaling pathway,0.28770612467609435,0.24433818164396565,0.25713485878084613,0.3196629405419548,0.24692325282609762,0.23085113373750815,0.2494702290378741,0.27003196879552244,0.2632087705864156,0.27113190747581534,0.2640419991022536
Energy metabolism,Photosynthesis,0.26588910450302927,0.1687469161007152,0.21750845042012257,0.31792037020091407,0.20899140784791082,0.3121149972818607,0.2556298883740899,0.29605861556924057,0.3225425902597445,0.2997244284170569,0.26231307423048084
Transport and catabolism,Peroxisome,0.2753955803778131,0.2126325488679982,0.24396016015207725,0.3387453733899036,0.22301759133102877,0.22580545842809294,0.2579407671054545,0.2749852283576049,0.28124876937184146,0.2863295821305,0.26047419067268196
Infectious diseases: Parasitic,Toxoplasmosis,0.18847567669600906,0.5728146163473693,0.43475718455903284,0.051684807997075914,0.46451381948518433,0.09261433532418464,0.27604130852743236,0.07241277680083595,0.0716071427508251,0.161580598601359,0.25253532951136176
Energy metabolism,Sulfur metabolism,0.30827965552610076,0.1562919071969398,0.21549368169314237,0.27700859559303104,0.20659001312804912,0.2886236564970422,0.23762596905934674,0.29910813124269353,0.2770215749369727,0.2518231101872692,0.25000238048857515
Biosynthesis of other secondary metabolites,Monobactam biosynthesis,0.2853248426224369,0.16568563268043807,0.22522123695309357,0.316615588467721,0.2042204671445251,0.25500420243175814,0.22858375019062738,0.28109307333362477,0.2782633664610991,0.23701295938741576,0.24582784966376703
Signal transduction,cAMP signaling pathway,0.17594130431957725,0.5622195361410199,0.4175529484763036,0.05069763760683115,0.4276775710370139,0.07978416641354041,0.28519625318792563,0.06998021516536483,0.07744186182993971,0.1688256098003772,0.2443055847338164
Carbohydrate metabolism,C5-Branched dibasic acid metabolism,0.2658455823767222,0.1449731193262224,0.19285114408563458,0.27255345270140463,0.19458303952874062,0.31621403405417253,0.23706234010047733,0.3031447733769173,0.2723435931680032,0.2520168721146848,0.24157455410641532
Cancers: Overview,Pathways in cancer,0.21063465643291535,0.3929298392920286,0.3198051844564056,0.1499898106847546,0.3303733117781086,0.1728947976697987,0.24931724403475242,0.16315790215884557,0.15382054598511366,0.20195889938844522,0.24057712744380938
Signal transduction,mTOR signaling pathway,0.16716848714539803,0.5923040637488027,0.40518100926219086,0.034696893194516,0.5183254444013425,0.07303821800350256,0.20598222893996368,0.05607230842343213,0.05145779945866395,0.11787464732170048,0.2382913905023723
Signal transduction,Apelin signaling pathway,0.15925989505074462,0.6105704451974542,0.41484560299942397,0.033761227346370964,0.5017704712530121,0.06901270655446089,0.20685182790507653,0.05224719338794493,0.052852688567956656,0.11609709224845301,0.23748112756066192
Metabolism of other amino acids,Glutathione metabolism,0.24029187678786565,0.18893112285994215,0.22452866020319417,0.30745636406431953,0.20192098838094402,0.22313097479414057,0.22927620862580977,0.2522725061307604,0.2662537114469448,0.24450227910361014,0.235906612758628
Nervous system,GABAergic synapse,0.22339907433411305,0.22876399270676365,0.23106091818520022,0.23347867342841186,0.22394120468482173,0.21047542852626303,0.25578287337721156,0.2534711596902679,0.2551711473651863,0.2506268408962686,0.2358528031888705
Cell growth and death,Oocyte meiosis,0.17610295793157488,0.5356088053222041,0.3968386075020386,0.049495864957837525,0.3988226159150683,0.08275275134057344,0.27921373438164027,0.06650764529443867,0.08086104123198648,0.16711545018014384,0.23528429338665025
Endocrine system,Estrogen signaling pathway,0.19763397556033652,0.39724313697166264,0.31987601616946343,0.13737978196067147,0.3486799654250118,0.15296943506358332,0.23706234010047733,0.14159095171682443,0.14397126800608342,0.19026578829049495,0.23374253223577304
Endocrine system,Progesterone-mediated oocyte maturation,0.19930646869985047,0.39745301219432944,0.31771958401636746,0.13253835500329714,0.3403101175154673,0.1506074340535292,0.24579053712068377,0.13937873080920396,0.14043301270446287,0.1868033468918944,0.23210095043375156
Immune system,NOD-like receptor signaling pathway,0.2628363382149201,0.2213025666871283,0.22359997774310172,0.2038893139921188,0.22985869989636423,0.2997535523070638,0.21066034929857988,0.19425238567312858,0.21016896274770022,0.22691206586692414,0.22893632385294235
Drug resistance: Antineoplastic,Antifolate resistance,0.23451586888225792,0.19656623871902584,0.21410065800300374,0.2570763378004367,0.19473591346316152,0.2421280801940701,0.23157098367263526,0.2462175429294247,0.2513692240002239,0.2327838947107796,0.22836391480653678
Signal transduction,cGMP-PKG signaling pathway,0.16488046679097002,0.5401102669945738,0.40396112975952714,0.04802798550799531,0.38377090312187684,0.06984905710665905,0.24347160654704958,0.05931572393739362,0.06675905255389313,0.14601224895509668,0.2246518343421081
