Pathway,Description,F_JC1,F_JC2,F_JC3,F_JC4,F_JC5,S_JC1,S_JC2,S_JC3,S_JC4,S_JC5,Total
Replication and repair,Nucleotide excision repair,1.241935600092233,1.2046680964731507,1.2099765954362427,1.2330816122822446,1.2073578757999726,1.2069195476259076,1.176638918065656,1.1602215954882658,1.1718275399910751,1.1928376100030034,1.2004363546791674
Signal transduction,Two-component system,1.1630029591483801,1.2576444572464234,1.158973445127726,1.1711498496143316,1.1460035800451396,1.1545770774141215,1.1957416171953914,1.159883991907267,1.2833233725469118,1.14098235254362,1.1804477343912887
"Folding, sorting and degradation",RNA degradation,1.1649444999551646,1.148919504748236,1.1494109916019637,1.17232164312517,1.1839536300340643,1.151515677587184,1.1812911658656413,1.152119109544297,1.1555710823545708,1.1765551803887113,1.1645141094544362
Carbohydrate metabolism,Citrate cycle (TCA cycle),1.085461422184646,1.071917142394062,1.1519698144537402,1.1316719611928396,1.1320003202883193,1.1801976338926081,1.1584856572624485,1.158899314796021,1.1210710564275082,1.1489152068042825,1.1359685946008586
Carbohydrate metabolism,Pentose phosphate pathway,1.1324487112972854,1.1435331086448253,1.0916590734533038,1.1209937865236486,1.128660865556733,1.0389158985866505,1.0499173846240173,1.0314352072145134,1.0384167156505213,1.023868571925606,1.0773969611269594
Global and overview maps,2-Oxocarboxylic acid metabolism,1.0623730992915978,1.0906418602253312,1.068843752567743,1.0651437972183273,1.0677929889784898,1.0715086065002666,1.0492812609452438,1.0743858850193475,1.0850381165673173,1.0969008376548575,1.0733654376175112
Carbohydrate metabolism,Butanoate metabolism,1.012773737237872,1.0348932685004164,1.0882643005065247,1.077340352211422,1.0883254907595323,1.0559309348199044,1.0723051403635382,1.0504254086456901,1.0162651630736552,1.0447728172982593,1.0546724629847415
Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism,0.9628941527996618,0.9806280635127838,1.0444686711390676,1.0308977192607205,1.0012096870753187,1.095477127096534,1.0700169939966067,1.1030353000179869,1.0948695830890447,1.1061444691715798,1.0521647314305411
Glycan biosynthesis and metabolism,Other glycan degradation,1.059260629235361,1.0204971218041679,1.0600866655969223,1.0256576567298579,1.054500649556685,0.9631555864060034,0.9698132730148835,1.060581649707401,0.9462147813023865,1.0828990089311663,1.025374910327003
Energy metabolism,Oxidative phosphorylation,0.9356725497354701,0.9174868559168223,1.0078907572260238,0.9928309342924215,1.0024912145213336,0.9855747400166864,0.9705443405263097,0.9621608279690312,0.9999708557104072,1.0148825498118086,0.9814440727558363
Carbohydrate metabolism,Fructose and mannose metabolism,0.9886946280568258,0.9659522619398345,0.9590284547217826,0.9865263551214307,0.9906394241994289,0.96943705617286,0.9644299577034721,0.9726171611027408,0.9380770900524483,0.9803174293369832,0.9721482846172601
Energy metabolism,Carbon fixation in photosynthetic organisms,0.9556484025722813,0.9656847659708164,0.9615057214667294,0.9667048902409076,0.9600137245041518,0.9434618253241794,0.9298798970011325,0.9220047575846866,0.9142696119305367,0.9172713163446499,0.9426554462375919
Amino acid metabolism,Lysine biosynthesis,0.8865535689122888,0.8822260236371597,0.9027547410094077,0.8950934530081094,0.8861528433820052,0.9509193206343108,0.9379216396268214,0.9638769795057746,0.9429313175073532,0.9468054767152922,0.9209984474503444
Cell growth and death,Cell cycle - Caulobacter,0.9380044002920718,0.8980812392553253,0.9166090846570739,0.9158143931892061,0.9045712925878697,0.8961221304393397,0.9092960740820142,0.8988976680407758,0.8867244732926651,0.9045423811412946,0.9068693376940135
Amino acid metabolism,Arginine biosynthesis,0.8259855020944621,0.8259424399742085,0.8688274005683237,0.837494025503508,0.8586327430449542,0.9418657906583064,0.9391559094513071,0.9595444002162914,0.9707603290958041,0.9433125962815144,0.8996362549933175
"Folding, sorting and degradation",Protein export,0.9134248939958751,0.8746145474278256,0.8912349409197367,0.8925683205129221,0.8771447344001629,0.8539532145304862,0.8600392137017623,0.8570160682424376,0.8522244473656022,0.8752430999321427,0.8746575211859423
Membrane transport,Bacterial secretion system,0.8650064691339048,0.8279608186495271,0.8150309536008957,0.8351916988167196,0.8360610224082089,0.8575932935930034,0.8473072457430271,0.8447310490449851,0.8492816311112641,0.8856611272563174,0.8477193580436306
Metabolism of cofactors and vitamins,One carbon pool by folate,0.7777171963670368,0.7780363437045978,0.7962118819499822,0.8181841887756045,0.7832845417482354,0.7864437482248781,0.7959236435113534,0.7902643379771956,0.7729671195638803,0.8091814415761573,0.7919699788010777
Carbohydrate metabolism,Propanoate metabolism,0.7996245820683294,0.8135403541379134,0.8066918416775765,0.8055007618308234,0.850279429108521,0.7599831735011952,0.7502461656221104,0.7358070047866561,0.729761656485721,0.7317167787671662,0.7764964019591551
Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",0.7322511144844549,0.7410003109032695,0.7534866764846626,0.7415389906863871,0.7513960230368122,0.7729194544772179,0.7727763371106104,0.774893997164505,0.7791555498865076,0.7826704033163119,0.7611298567148287
Drug resistance: Antimicrobial,beta-Lactam resistance,0.7438903513828574,0.7228349028254019,0.7305082433854428,0.743453470225222,0.7547728946281363,0.6547195538420427,0.6791617181149889,0.660277581415448,0.6618876340022263,0.6604953556055351,0.6998627169541045
Transcription,RNA polymerase,0.6980839994619731,0.6933130749719464,0.6835421203649881,0.6821653687815724,0.699143378413166,0.6864255758301737,0.6675880649146174,0.6580456466299567,0.656058776083666,0.6449024099814248,0.675714886338593
Global and overview maps,Fatty acid metabolism,0.6152482610199455,0.6275455433165342,0.638461982314966,0.6287002268328171,0.5889039554110765,0.6540942069261744,0.6784971112864197,0.6945631006413155,0.663486784957156,0.6936512011114179,0.6498263839516522
Lipid metabolism,Fatty acid biosynthesis,0.6023280075067573,0.6049907695652328,0.6056356493160807,0.607772984977277,0.5611219370558619,0.6449566751256505,0.6700945820966504,0.6875859599673424,0.6586514823656231,0.6895749111474861,0.6352466148370224
Lipid metabolism,Glycerophospholipid metabolism,0.6975435705776104,0.652738800034969,0.6200201076581389,0.6468877824517485,0.6632512557098128,0.6089478930149029,0.5971777186193306,0.606739280195405,0.6165815110897808,0.5879252714521199,0.628194734753309
Metabolism of cofactors and vitamins,Thiamine metabolism,0.6078123598888078,0.6092342283464749,0.6007524774196626,0.6237572387131528,0.6075936768500392,0.6135679933634826,0.605931539989915,0.6101434496371418,0.6217858485170666,0.6596391831781666,0.6174990859830172
Lipid metabolism,Sphingolipid metabolism,0.6237750278621114,0.6341843069112568,0.613944177699339,0.5971773309778633,0.6325600765099948,0.5794539190724556,0.6006526628944217,0.645001019375257,0.5982622433457342,0.6304232461876081,0.6152016621293562
Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism,0.5859149821298182,0.5826183794291709,0.5955940536626949,0.5898825037695442,0.589091039709765,0.6285203181279764,0.6091786190666394,0.6462295212950023,0.6234417740621122,0.6486074393352587,0.6114386564875612
Replication and repair,Base excision repair,0.6475939305432791,0.6182561378469955,0.6211720876671059,0.6282628672829971,0.6251141214221999,0.6045331304595936,0.5878637286360948,0.5837634809329938,0.5897271299649852,0.6034879100876509,0.6106039978010452
Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,0.5936311056454402,0.6142680161270888,0.6223036786493656,0.6248300074202586,0.6030568826068475,0.6001930361927461,0.5945382800715838,0.616557917676117,0.604602072575337,0.6201643305534753,0.609782483345813
Carbohydrate metabolism,Pentose and glucuronate interconversions,0.661204732075375,0.6184628392776004,0.5875199990865716,0.6205306805248578,0.6258343959721498,0.5660976289738346,0.5926109202687329,0.5867925352847321,0.555747537780651,0.5487610654603677,0.5947436050099162
Metabolism of other amino acids,Cyanoamino acid metabolism,0.571213314886694,0.5733411328673148,0.5475371177133951,0.5148629628749409,0.5542465890790663,0.5131111447740645,0.5490127123145854,0.5470115799903857,0.5184939442329696,0.5113016275762077,0.537965220232581
Energy metabolism,Nitrogen metabolism,0.3976856032947747,0.41695326225316964,0.4369878149059689,0.42754784218351016,0.4280769380436669,0.5868740802383562,0.5727771536275713,0.5902904834989685,0.6116988963398179,0.5576864735970062,0.5059299119731769
Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,0.46403826076374216,0.5028316272156721,0.48745065600673976,0.5008839614146552,0.4666817830780007,0.5327115704953111,0.4883625920160022,0.5108879968235255,0.5220423561152101,0.5403205691409999,0.5028588562211032
Amino acid metabolism,Histidine metabolism,0.47842968179547285,0.47392990365403137,0.4976451693604309,0.5207631907640226,0.49325710770667575,0.5014722253100671,0.5138170335502072,0.49416724168684,0.5106590507969828,0.5205225288514955,0.5019631707464843
Metabolism of other amino acids,Selenocompound metabolism,0.47246494818287793,0.47624009611373347,0.504638605521063,0.4967496758588091,0.49971151601142266,0.49205468742781094,0.5079684934587971,0.48031611698864357,0.4793289394847214,0.4829645932544523,0.4894667622903233
Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes,0.4530795639419443,0.45873126905072853,0.4588040734828678,0.4411555006297978,0.45323977621724526,0.4890119546729888,0.4963853458751604,0.5150048849362595,0.5043665337258098,0.4854497663179646,0.4758990989845396
Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis",0.449386633232133,0.4805808261564367,0.4583249313552444,0.46192595321276075,0.4427630554906996,0.46204736900218807,0.4402735407773792,0.46678384011694585,0.4752695562914384,0.47810032158745586,0.46162070831577207
Drug resistance: Antimicrobial,Vancomycin resistance,0.4705534312030027,0.46803283342794993,0.4647780583081308,0.4744278346840316,0.4717704760023228,0.4393575428458306,0.44786904738960004,0.4393910606698017,0.4309191389792761,0.4430957497782286,0.4545538062534488
Lipid metabolism,Glycerolipid metabolism,0.48039123848686316,0.49152384307081487,0.43874127120280376,0.4501089933006419,0.477579443476595,0.4331600749034935,0.43945702381656554,0.4278844052840962,0.44998593882651466,0.41781214455584953,0.44886047636027376
Biosynthesis of other secondary metabolites,Streptomycin biosynthesis,0.42797964464599103,0.4214398991880646,0.4161502296110242,0.43886142600998695,0.39654387949975156,0.4176850721197664,0.4202688752374426,0.4175218509228863,0.41454913216254036,0.42848020453580454,0.42035251645322114
Lipid metabolism,Fatty acid degradation,0.3817629670906832,0.4026908635414302,0.3997880356783501,0.41503770864526146,0.37950049988924606,0.41168360843464186,0.4119138179639998,0.4288784602725924,0.399494403350155,0.42295675586720566,0.4061698908980921
Amino acid metabolism,Arginine and proline metabolism,0.3688727374044042,0.3819720848502077,0.38285494899786915,0.3856768543384747,0.3842711495057981,0.40771685561010385,0.41065106498971804,0.39704994488621537,0.4101964135869921,0.42598745472514743,0.3966666116799658
Transport and catabolism,Lysosome,0.39176090145139186,0.38045222138987744,0.38203938792957387,0.38782239175268624,0.4029515167298263,0.3834963295402776,0.3629417890817061,0.4371778816388103,0.3445460625497014,0.44361096858407867,0.3932735222614409
Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism,0.38115248261019946,0.39123717250438117,0.4255393764097738,0.3807833786206769,0.39302669468441126,0.4196544482279488,0.3736609477882027,0.3635709231038448,0.39370339515833863,0.38076942776465655,0.38973866291978465
Cellular community - prokaryotes,Biofilm formation - Escherichia coli,0.3889086378950335,0.4090864489825001,0.3719264306827123,0.36779462519771955,0.39722673718996393,0.35853845412189017,0.36857195835801476,0.3618078821808516,0.38902895390546727,0.3512276906468693,0.37489882580046985
Transport and catabolism,Peroxisome,0.3477259553181405,0.35690041720859933,0.37581054027046856,0.38342404005355263,0.3434025844573358,0.37088672232627556,0.3896020172906012,0.3973875484672141,0.36815482960620766,0.3918693623318682,0.3735881581667508
Aging,Longevity regulating pathway - worm,0.36452929044489707,0.36944840993708616,0.36906177243032506,0.37470160525808505,0.37459889126361223,0.37271609539359196,0.37468634118085253,0.35975412706310955,0.36642320460767436,0.3673434318239746,0.3693810652822987
Endocrine system,PPAR signaling pathway,0.3468752802223845,0.36690719823141393,0.3567773838391273,0.37017122048730766,0.3511198117782288,0.35438503057619747,0.37047083501107,0.3820922306725232,0.3462966124116067,0.36540378455489186,0.36126356359094125
Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - globo and isoglobo series,0.36011578788926896,0.3627488518039503,0.3524345211504549,0.35559807020462486,0.36250389135341277,0.3584917864416015,0.33862667353933423,0.37908193207528484,0.3400040953404337,0.36950280476025804,0.3581155201984914
Biosynthesis of other secondary metabolites,Phenylpropanoid biosynthesis,0.38996947977915275,0.386823489015582,0.35829636632882733,0.33281411327909416,0.3771525919407077,0.33084585263858596,0.36560971077924864,0.36024177668010765,0.3371085912445255,0.33113415721871553,0.3551524349176767
Glycan biosynthesis and metabolism,Glycosaminoglycan degradation,0.3569032384100022,0.3360600494405504,0.3539127255867401,0.3689169063066917,0.368135128743931,0.3249003901698078,0.3140647040320652,0.37056681953231774,0.3105948576604251,0.3810270371675816,0.3498196325111407
Biosynthesis of other secondary metabolites,Monobactam biosynthesis,0.3352160274393759,0.342905514465878,0.3487950798831872,0.34559656502760816,0.34278520627166437,0.3542916952156201,0.3527353270715344,0.35864753754761386,0.3486338330380424,0.3467271028428259,0.34775598819959735
Infectious diseases: Bacterial,Legionellosis,0.3494873531634705,0.3451913891102148,0.34446241170786845,0.35039101594167305,0.34067115369648643,0.3408140691482485,0.3536372934817356,0.3508076321666441,0.34429057689418013,0.343234222409048,0.3462904064114631
Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis,0.28876916721109874,0.2775027500409451,0.30117650800809603,0.3125635409157286,0.28204828870250304,0.3831323216340259,0.3427187527266682,0.3904104077932411,0.3543586042080569,0.4192138427776476,0.3387493731492629
Amino acid metabolism,"Valine, leucine and isoleucine degradation",0.2903804459218836,0.31237449727476324,0.34927422201081065,0.3353474978412593,0.32975478486802323,0.34338079156412615,0.3267017281581476,0.33290526449646335,0.3298698310047551,0.33142207361022,0.3287550630053235
Endocrine system,Adipocytokine signaling pathway,0.2961350127461153,0.3181986140547489,0.310188457812759,0.3250406661860663,0.300204819890204,0.31560418825630226,0.32905633520793603,0.3406889026139332,0.3048511616270386,0.32818680257936717,0.31734117588274285
Infectious diseases: Bacterial,Tuberculosis,0.3108266720469364,0.3181499784240183,0.3132060337654516,0.3186535663452982,0.3261066410436011,0.30810935880193985,0.314643861411247,0.30021398440308966,0.31134238976361706,0.3068431058723124,0.3126346022095096
Metabolism of cofactors and vitamins,Folate biosynthesis,0.2913011766137607,0.28641522937232194,0.3104739041866623,0.2982462047093556,0.2809725539850452,0.3296884941674267,0.3116911082157462,0.3220925720272551,0.3242207592882283,0.3417491799686565,0.31092115777431095
Drug resistance: Antineoplastic,Antifolate resistance,0.28980999321061196,0.29323637658228424,0.30173720624254907,0.30800839994401796,0.2873521285703168,0.2986358197033373,0.301399196756187,0.30298045819182895,0.2998360728334722,0.3032062672427823,0.29900403436829665
Cell growth and death,Ferroptosis,0.27190578443052404,0.28665840752597477,0.2940709322005734,0.29909616760806246,0.2685314481222723,0.2911409902489749,0.3075990290284122,0.317975683914521,0.28329574224638887,0.3108587818590852,0.29387496754665826
Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae,0.26923366383562,0.27961839997772486,0.2832647480456608,0.26841498258483787,0.2863979986470064,0.3025185707033557,0.28420486866277217,0.3028116564013297,0.30552299427674284,0.3317402969903039,0.292493884388205
Metabolism of cofactors and vitamins,Biotin metabolism,0.27495820683294264,0.2681525500329932,0.27097016494110937,0.27152601183544456,0.2589433778144962,0.2980011392514112,0.3007535786941482,0.29724119731485116,0.30399008034361497,0.31457896470720875,0.2869573463967714
Amino acid metabolism,Phenylalanine metabolism,0.2803124559650539,0.2868286322335318,0.3002793908329713,0.27903539278518485,0.2923192167004915,0.27477930153976277,0.2887336894803088,0.27887931365942215,0.29184978049050975,0.29111377879959477,0.28633017878980555
Drug resistance: Antimicrobial,Cationic antimicrobial peptide (CAMP) resistance,0.2911810813061245,0.27222578410667836,0.27728056870704415,0.29983060156908103,0.28472359417374593,0.2794087354244001,0.2708082938754677,0.2805767094416656,0.27963378118391674,0.30070594068498036,0.28454725770353584
Nervous system,GABAergic synapse,0.2105470901707595,0.2157476579208049,0.231446036668849,0.22318540347986363,0.22205035411316057,0.3130094652322515,0.30680150083412905,0.32068589043976053,0.3378845106427754,0.3025925507240491,0.270358060032765
Energy metabolism,Photosynthesis,0.2714354111422825,0.2699155916469763,0.25692212553972305,0.26603838729524976,0.26237637469542674,0.2603776554026754,0.273124923392195,0.2372884280558329,0.2722152347421128,0.25927628729691665,0.26266492923713897
Metabolism of cofactors and vitamins,Vitamin B6 metabolism,0.2514795741900772,0.2557018285659675,0.25461816552178884,0.25657326647178585,0.2529847429012734,0.26009764932094326,0.25558879750123026,0.26091130084849157,0.2621566698599219,0.2622084884419753,0.2574316474388939
Endocrine system,Glucagon signaling pathway,0.25799474462933786,0.27226226082972627,0.23901036557728775,0.24894010451737952,0.2666138340607171,0.24656402203722533,0.24864840333431348,0.24299017742381085,0.2621661322916079,0.2382962744528149,0.2515796478966512
Energy metabolism,Sulfur metabolism,0.2510992723825628,0.27351462832103846,0.24848106848286677,0.25380057196726635,0.2635924226369008,0.2394518675612301,0.2469773918796249,0.22622253290087566,0.25251445197191397,0.24260744357823705,0.24916862032975254
Metabolism of other amino acids,D-Glutamine and D-glutamate metabolism,0.24350324417457694,0.23950616353268797,0.245076101022734,0.25039246830546114,0.24687644054909988,0.24427730570307984,0.24010345839556504,0.23650068636683594,0.23720423750400732,0.2373643345539978,0.24211674024603916
Nervous system,Glutamatergic synapse,0.1863679015666833,0.19247550861622753,0.19964934951868643,0.18865050317803603,0.1967378485006316,0.28589554298452696,0.2754605416754529,0.28937315830213156,0.30833333648747724,0.27105055236002035,0.24109242907957248
Endocrine and metabolic diseases,Insulin resistance,0.21274883747742207,0.23195548186176707,0.18995436731932622,0.20349597167098415,0.22234968899106183,0.2514734620035947,0.2424295822955577,0.24084264353356916,0.2604818194515045,0.229029912694658,0.2284401675953332
"Folding, sorting and degradation",Sulfur relay system,0.24222222755979148,0.232332407999929,0.21915145356429752,0.22711338736126624,0.23742868346534,0.21348597024860713,0.21889300618093843,0.19959873938822856,0.21330213506523588,0.20592083390285218,0.22030107180972397
Infectious diseases: Bacterial,Epithelial cell signaling in Helicobacter pylori infection,0.2243180187797036,0.21892113282597453,0.23258782216446236,0.23311264005408072,0.22309802618581512,0.21839541021497652,0.21488637644299197,0.21420947214367209,0.2096212491393918,0.20864846287499975,0.21960067205703454
Endocrine system,Insulin signaling pathway,0.2099366056902758,0.23385227146025928,0.20047510510033542,0.20800985230780608,0.2243982620616989,0.21204860569571574,0.20891440936913336,0.21188375858568106,0.22134520199831417,0.1999655106469966,0.21234693413574984
Cardiovascular diseases,Fluid shear stress and atherosclerosis,0.21160793205487874,0.21107863737067026,0.21105700996146676,0.21407512153644245,0.2083277208043727,0.20333108301778982,0.20381592555568012,0.20561933658270526,0.20261904969177078,0.20357961903509214,0.2073784147105054
Carbohydrate metabolism,C5-Branched dibasic acid metabolism,0.19752675723454133,0.20808754608074026,0.20853896516310508,0.20754773655705278,0.18573729173775871,0.20738183766684745,0.19615395826060242,0.20079910767622391,0.210671579056535,0.21304297621901527,0.20372337953996938
Glycan biosynthesis and metabolism,Various types of N-glycan biosynthesis,0.1914919680258253,0.18351439365412017,0.20512380318961856,0.20642545544808066,0.19414673096379845,0.20404976529423552,0.18675451882797914,0.22863264735411634,0.18251138235907508,0.23430332870747664,0.20302391866094308
Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - ganglio series,0.19028100700716089,0.18031660093358526,0.2048689403557763,0.2068050505290565,0.19360418649760233,0.20362042263557964,0.1858620468010432,0.22800432957836878,0.18200987347971842,0.23376537966019198,0.20231788566627495
Amino acid metabolism,Tyrosine metabolism,0.1922725875254602,0.19831178430389584,0.18006568936624584,0.1852589036501863,0.18729944563180612,0.20054035573652662,0.19518553116754425,0.20063030588572456,0.20958339941264795,0.205928410649997,0.1956838043626511
Metabolism of other amino acids,Taurine and hypotaurine metabolism,0.18731865608546944,0.19308345400035964,0.2032480127325394,0.20037669035339972,0.20011472009195566,0.19102014895763536,0.19676159878958005,0.19185261277975849,0.1912262819418575,0.1931464382166277,0.194870739770387
Environmental adaptation,Plant-pathogen interaction,0.19228259546776322,0.20406294763778565,0.18268567929814447,0.19235568125103977,0.18750523836036326,0.17997857580133306,0.1879223279696081,0.1928279120137547,0.19105595817150997,0.18072814964621137,0.18866947922546265
Biosynthesis of other secondary metabolites,Novobiocin biosynthesis,0.1839559874716575,0.18246872759341295,0.19181996326305167,0.1833444241113514,0.1869907565389704,0.17883055086623148,0.19212833975612537,0.18813897338877283,0.19281597046510124,0.19920783593251118,0.18828078552892993
Aging,Longevity regulating pathway - multiple species,0.1681834704021111,0.17362920170813198,0.17867923555014387,0.18392206879979298,0.16986318899405523,0.19682560838554744,0.1940651939422417,0.2030497982162152,0.21118255036757763,0.19197204240917526,0.1876752120162159
Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis,0.17766099176306316,0.17448032524591695,0.17818989890916667,0.18810586675750543,0.15780560594359333,0.18962945208503262,0.19216631728918648,0.19134620740826044,0.1938284506555005,0.20123840416733219,0.18519376892458303
Metabolism of other amino acids,D-Alanine metabolism,0.1799227867235438,0.17732550964365523,0.17812873182904454,0.18768501134164087,0.18020895071151902,0.17620782723400752,0.17305412377618587,0.17533817094257234,0.16862999507575055,0.17758379958109682,0.17754664293845
Metabolism of other amino acids,Glutathione metabolism,0.15937648117546085,0.16513012523796503,0.17125762982865672,0.1707105095684367,0.17257591132503577,0.18093993001527992,0.17425041606761066,0.17963323872305573,0.17250012963531408,0.17834147429558223,0.17284945800184795
Cell motility,Bacterial chemotaxis,0.15784526600310006,0.2287698480489148,0.15404929128762618,0.17897082861315103,0.13277372677909685,0.13193886571216326,0.1840865971304366,0.14949274124167222,0.20980103534142536,0.1515804033799566,0.16639094607322802
Immune system,NOD-like receptor signaling pathway,0.1664621043259931,0.1735197715389882,0.1543551266882369,0.1629700707433198,0.15180955417063285,0.15424601689015352,0.1617558076905074,0.15604787743939688,0.15950821093047118,0.1568765496342098,0.15940948151424889
Amino acid metabolism,Tryptophan metabolism,0.13976091426155796,0.16185937907133424,0.17493784914933921,0.17363174127855543,0.15198728425438676,0.15240731028677942,0.15548002035215996,0.16409409611986578,0.15289397118197504,0.1598617880092824,0.1588442795690491
Metabolism of terpenoids and polyketides,Biosynthesis of ansamycins,0.1641402617116944,0.16226062302486144,0.16313260268576493,0.16607284792694874,0.1668230691403701,0.15090461098148383,0.15401788532930746,0.1530188230876586,0.15146514399739291,0.15266387822167077,0.15826593339256562
